ID,Content Length,Content
558833626918289437,6,!level
558833660875243562,5,!rank
558833752462196746,7,rank 69
558833991470415874,7,pls bal
558834159888498699,18,pls withdraw 10000
558834189298958336,16,pls gamble 10000
558834222106935309,15,pls gamble 9999
558834299412021268,8,pls bank
558834338859319327,8,pls rich
558834385424482324,17,pls deposit 10000
558834443159076874,13,pls slots 100
558834487249862676,12,pls slots 77
558834616392220702,9,!pls rich
558834644074627073,8,pls rich
558834750551359488,17,pls rob dankchilo
558834815680380943,7,pls rob
558834918080380930,14,pls use normie
558835070283153408,8,pls bank
558835093058093056,7,pls rob
558835202227568640,30,pls rob  <@516446658943385612>
558835235819749386,8,pls bank
558835257302974464,8,pls bank
558835275699060736,8,pls bank
558835288277778444,8,pls bank
558835324130820106,13,pls givemoney
558835365159632898,8,pls bank
558835415390617622,15,pls deposit 100
558839678225088532,8,pls balo
558839703756079104,7,pls bal
