ID,Channel,Content Length,Content
558467641258409993,lfg-battleroyale-pc,37,Looking for perm Eu duo for World Cup
558467899325677568,clan-recruiting,51,Looking for PC PLAYERS to lead a team for me EU 18+
560600577579417600,lfg-battleroyale-console,6,Lf2 Eu
560600626975997952,lfg-battleroyale-mobile,16,Looking for 2 Eu
560602999399907340,lfg-battleroyale-console,6,Lfs Eu
560603120397320203,lfg-battleroyale-pc,6,Lfs Eu
560620703167021086,lfg-battleroyale-console,9,Need 1 Eu
560622404800479233,lfg-battleroyale-console,9,Need 1 Eu
560624868564008960,lfg-battleroyale-console,6,Lf1 Eu
560639957400551435,battleroyale-images,8,Thoughts
