ID,Server,Channel,Content Length,Content
558861616586948638,MINECRAFT,minecraft,3,Hey
558861768110374935,MINECRAFT,minecraft,69,Has somebody noticed that you can’t put banner on shields in bedrock?
558861934993211413,MINECRAFT,bedrock-store-feedback,3,Hey
558862044372402187,MINECRAFT,bedrock-store-feedback,18,Is and admin here?
558862179856547907,MINECRAFT,minecraft,2,Oh
558862217970450432,MINECRAFT,minecraft,2,Ok
558862383905243139,MINECRAFT,minecraft,1,F
558862410149003265,MINECRAFT,minecraft,13,Poor furry...
558862498451947530,MINECRAFT,minecraft,3,OOF
558862578437324813,MINECRAFT,minecraft,32,<:thinksteve:425381858121875459>
558862617100288011,MINECRAFT,minecraft,3,lol
558862708066353177,MINECRAFT,minecraft,22,The chances of that...
558862824168751104,MINECRAFT,minecraft,25,<:jeb:494553523065978905>
558863015269761061,MINECRAFT,bedrock-store-feedback,29,There is a problem in bedrock
558863074530951183,MINECRAFT,bedrock-store-feedback,36,You can’t put banners in the shields
558863158295658497,MINECRAFT,minecraft,4,OO🅱️
558863481168723968,MINECRAFT,minecraft,38,I joined today so can’t tell Mr.Fox...
