ID,Content Length,Content
558450959601106975,57,Does anyone know why they put switch players with mobile?
558451178967400449,44,Why are switch players put on mobile servers
558451334542786562,3,Tb?
558451426171289600,10,What is tb
558451595659051019,32,<@464545219627581442> what is tb
558451732653277194,5,Ah ok
558451944239267850,37,I’ve got an edited video you can edit
558452203342528514,2,No
558452743132676118,52,Ozzy Ice pop pickaxe isn’t rly that good I bought it
558453586883903489,2,Ok
560635167689932820,33,Why was +50 removed when you kill
