ID,Channel,Content Length,Content
558867048369881100,off-topic,57,is "man fighting indian company on yt" talk allowed or no
558867219199557662,off-topic,2,uh
558867293631676417,off-topic,64,guys is "guy fighting youtube indian company" discussion allowed
558867467745624076,off-topic,0,
558867525576687642,off-topic,0,
558867690257645568,off-topic,33,mii maker?  <@417088474743832606>
558867754283958303,off-topic,27,im pretty sure there is one
558867860311769098,off-topic,22,og yeah tomodachi life
558867893429993483,off-topic,38,im gonna get the demo because im broke
558868030277419031,off-topic,46,give me someone to turn into a mii by scanning
558869128861974528,off-topic,34,react to this if you like rootbeer
558869393182818306,off-topic,23,theres this girl i like
558869427177914389,off-topic,37,but uhh its not that important so nvm
558869576721629204,off-topic,72,she still asks me if i like her but i dont know what she thinks about me
558869658518683658,off-topic,43,<@555387138808610825> <#302099229755834370>
558870644939554817,off-topic,4,dude
558870710143942664,off-topic,69,i accidentally named my tomodachi life island something inappropriate
558870828150947840,off-topic,0,
558870902813622283,off-topic,35,it was an idea from n#####head rock
