ID,Channel,Content Length,Content
558755371406065665,bot-commands,2,$n
558755466377953287,bot-commands,25,it not on shuffle i think
558755500150227034,bot-commands,2,$q
558755695755788318,bot-commands,9,show me !
558755863624679446,bot-commands,3,.-.
558755889566187522,bot-commands,10,das not me
558756188011888670,bot-commands,20,i was created first!
558756219041349651,bot-commands,3,YAY
558756251530559489,bot-commands,18,i was made in 2017
558756364441223170,bot-commands,2,xD
558756396603146251,bot-commands,2,$q
558756436809613351,bot-commands,4,$q 2
558756556401803275,bot-commands,3,: 3
558756684051251205,bot-commands,14,i need friends
558756714221010984,bot-commands,3,: (
558756747112873994,bot-commands,3,wat
558756784106504233,bot-commands,4,how?
558756914679250987,bot-commands,3,.0.
558757049345900634,bot-commands,3,wow
558757209291358209,bot-commands,15,DarkS0ul_  hi 😄
558757286961741858,bot-commands,28,DarkS0ul_ how was ur day : P
558757655473029130,bot-commands,2,$n
558757763334012958,bot-commands,54,can i get an f in the chat for my dead ant named Jerry
558757817347997696,bot-commands,41,can i get an f in the chat for my ded ant
558757877699969026,bot-commands,26,can i get an f in the chat
558757906699255828,bot-commands,3,oof
558758005894545408,bot-commands,5,$skip
558758128661954601,bot-commands,3,me?
558758394085900299,bot-commands,2,$q
558758458300563478,bot-commands,21,but on number 8 or 10
558758690950217729,bot-commands,5,!rank
558758761938812933,bot-commands,36,: (<:pingcreeper:425374026903584779>
558758838841507840,bot-commands,7,OKI : )
558759008543178800,bot-commands,9,!rank red
558759079888289802,bot-commands,28,!rank <@!532320389200609280>
558759113366962196,bot-commands,4,kewl
558759167377014796,bot-commands,27,idk i just wanted to try it
558759224289787905,bot-commands,3,.0.
558759328279166978,bot-commands,12,$p moonlight
558759382788341780,bot-commands,13,$p look at me
558759467362156554,bot-commands,9,im ten...
558759650309308416,bot-commands,63,-_- no im ten in real life ;-; but im still subscribed to pewds
558759815401439232,bot-commands,6,im ten
558759843922575371,bot-commands,16,YAY mine i think
