ID,Channel,Content Length,Content
560949228810272779,minecraft,50,Hi_ again i guess_ <:snowgolem:425375090511970314>
560949571120005131,minecraft,47,<#302219365372264448> <@258462190745550848> U H
560949652103626772,minecraft,8,Is okay.
560949685213200404,minecraft,12,And is fine.
560949779060752405,minecraft,49,Everyone who is new don't know the channels_ so..
560949893750063107,minecraft,18,is understandable.
560950472882520085,minecraft,22,Go commit UH you died!
560950624972308502,minecraft,5,Ñeh..
560950660552720384,minecraft,9,And also.
560950755507568655,minecraft,25,<:dab:425370892181176331>
560950801221287967,minecraft,8,Yee-haw.
560954632738701323,minecraft,7,So sad.
560954837353627650,minecraft,20,Wow that looks epic.
560954904626069507,minecraft,32,<:thinksteve:425381858121875459>
560955414653698059,minecraft,36,<:dab:425370892181176331> Another UH
