ID,Server,Channel,Content Length,Content
560632556723372063,Axis Order,general,22,<@!204255678783684609>
560632571797700638,Axis Order,general,13,I was working
560632636750430229,Axis Order,general,59,<:GWnekomakiSmolmiku:395628357414551574> now back to eating
561008579457581076,Axis Order,general,52,<:aquaChibi:354437477584601093> if u do_ sleep tight
561009074377064450,Axis Order,general,25,<:hmm:370392598868918275>
561010714832273419,Axis Order,general,69,<:aquaChibi:354437477584601093> I need a half AquaYeah emoji for that
561010760340209674,Axis Order,general,30,<:aquaYeah:457164217196478465>
561010775783768064,Axis Order,general,30,<:aquaYeah:457164217196478465>
561010858033938464,Axis Order,general,37,<:aquaChibi:354437477584601093> u can
561010883514335263,Axis Order,general,31,if u can imagine a way to do it
561010891622055938,Axis Order,general,11,u can do it
561010942226464768,Axis Order,general,51,<:aquaSmile:354438292189741057> believe in yourself
561010984290877450,Axis Order,general,32,the ningen potential is infinite
