ID,Content Length,Content
558861781968224256,60,<@300670483668402177> I can't get measles_ i am vaccinated 😎
558862077855531043,50,He is stealing my baby_ help <@499464292580458496>
558862312958591003,49,I have absolutely no idea about what he is saying
558862985016377365,14,Yuck_ raw fish
558863124632043521,54,Yo_ that fish is saw raw that_ it is still laying eggs
559045231769812995,157,I am really sorry that i got a couple of people banned from using Dank Memer bot_they asked me money and i kindly shared_never knew they would ban them too 😢
559057590106062858,75,Google the national animal of Scotland_ you guys won't believe it_ Trust me
559057911242817591,7,Hhhhhhh
559058118319800348,103,I think Scotland should reconsider the selection of their national animal_ if it's a joke_ then alright
559058201958416440,44,<@292451674952302593> But it isn't even real
559062300279963658,126,The joke is_ we used to be friends and did raids together_ but now after i got him banned i am just "Somebody he used to know"
559062468593188899,25,<@467347955117064192> Yes
559062499647815681,22,People remember me wow
559062677511471220,32,<@467347955117064192> I remember
