ID,Server,Channel,Content Length,Content
559005841441816587,/r/Anime Discord!,anime,24,what is this insect face
559006061672267776,/r/Anime Discord!,anime,97,i like how its just like look! hes smart! he has e=mc^2 on his rags! thats the smart people thing
559038477933608961,/r/Anime Discord!,games,39,either way Im def not getting this game
559038484241842227,/r/Anime Discord!,games,12,not worth it
559038893781942274,/r/Anime Discord!,games,45,thrasher youre just getting it for the trophy
559038900270792704,/r/Anime Discord!,games,36,<:worrypoliwhirl:528860902464946186>
559039139865952283,/r/Anime Discord!,games,88,oh whenever I get back to KH I learned of a 3 million IQ strat to get the 15 hour trophy
559039200272449545,/r/Anime Discord!,games,97,if you wait until the timer hits 99 it apparently rolls over back to 0 <:woke:544300014198063104>
559039276738936844,/r/Anime Discord!,games,64,Ill probably be at 99 hours by the time I beat the secret bosses
559039282426150922,/r/Anime Discord!,games,30,<:charhaha:447488960675971073>
559063460126916608,/r/Anime Discord!,tech,28,<:wakaru:530062795807391754>
559063484277719064,/r/Anime Discord!,tech,34,yes. i definitely udnerstand this.
