ID,Server,Channel,Content Length, Content
558114188950503425,r/teenagers,general,16,Haha yes Brandon
558114327899668490,r/teenagers,general,48,<@116734104300421122> I can bean you if you want
558114430534156289,r/teenagers,general,47,!!bean <@116734104300421122> do your heccing hw
558114551795679262,r/teenagers,general,61,<@116734104300421122> np <:fingergunsleft:557208728462688256>
558114614752313344,r/teenagers,general,4,Why?
558117520159014942,r/teenagers,general,6,AHHHHH
558437520958816296,r/teenagers,self,66,<:dynoSuccess:557717976296587285> Rodentman87#4318 has been beaned
558438017807810561,r/teenagers,self,0,
558438076956016650,r/teenagers,self,49,<@!152566937442975744> has been officially beaned
558438289242062889,r/teenagers,voice,0,
558439176635285524,r/teenagers,general,24,I got demoted for you :\
558439313029988353,r/teenagers,general,31,<@!188897172790444033> I did :\
558439332499816460,r/teenagers,general,22,Official sad boi hours
558439383766925348,r/teenagers,general,43,Technically I resigned for personal reasons
558439397977096195,r/teenagers,general,11,But ya know
558439433955967022,r/teenagers,general,9,Sure Bman
558439536280076308,r/teenagers,general,29,<@!188897172790444033> goteem
558439560309243926,r/teenagers,general,21,I have passed the gaw
558439640890081313,r/teenagers,general,16,Personal reasons
558439774386388992,r/teenagers,general,25,<@!188897172790444033> :\
558439814970605569,r/teenagers,general,47,But Bman might be a better mod for all you know
558439956499136552,r/teenagers,general,11,***OH NO***
558439986974818306,r/teenagers,general,12,Dont bean me
558440029374906399,r/teenagers,general,21,Yeah_ I had to resign
558440055819993098,r/teenagers,general,31,And I asked if BMan can replace
558440095217090580,r/teenagers,general,7,Wym Sav
558440782768635914,r/teenagers,voice,88,https://discordapp.com/channels/143821685726904320/235888301930708992/558440180181237802
558440978755616768,r/teenagers,general,30,Damn_ can I have my spot back?
558441011945406486,r/teenagers,general,25,Ya know_ do the !!setrole
558441306863435791,r/teenagers,general,14,Hello friendos
558442210908176395,r/teenagers,general,24,Let's go bois_ I got @'d
558446266716127232,r/teenagers,general,11,***oh no***
558449278536908800,r/teenagers,bot-commands,21,<@423694063888498688>
558449631860752445,r/teenagers,bot-commands,21,<@423694063888498688>
558449788962734092,r/teenagers,bot-commands,21,<@423694063888498688>
558449800790671381,r/teenagers,bot-commands,21,<@423694063888498688>
558449811544604687,r/teenagers,bot-commands,21,<@423694063888498688>
558450071113302036,r/teenagers,bot-commands,21,<@423694063888498688>
558450244539645983,r/teenagers,bot-commands,21,<@423694063888498688>
558450436923981845,r/teenagers,bot-commands,21,<@423694063888498688>
558450877141352458,r/teenagers,bot-commands,5,!!arc
558450992124002326,r/teenagers,bot-commands,21,<@423694063888498688>
558451211632640011,r/teenagers,bot-commands,21,<@423694063888498688>
558451566852440064,r/teenagers,bot-commands,21,<@423694063888498688>
558452142046838794,r/teenagers,general,33,Legit Teenager plagiarizes me smh
558452147914539028,r/teenagers,general,0,
558452366232256533,r/teenagers,bot-commands,21,<@423694063888498688>
558453432911003658,r/teenagers,bot-commands,21,<@423694063888498688>
558453534329143298,r/teenagers,general,22,<@!439926511517040680>
558467040348733450,r/teenagers,voice,4,BMan
558467110519701544,r/teenagers,voice,18,BMaaaaaaaaaaaaaaan
558467901812899840,r/teenagers,voice,56,Smh Rynn ain't a feast_ she's a whole flipping buffet <3
558468662336421918,r/teenagers,voice,9,I did smh
558470197346959361,r/teenagers,voice,3,Egg
558470250274750515,r/teenagers,voice,3,Egg
558470294927573014,r/teenagers,voice,7,Oh damn
558470452587134983,r/teenagers,voice,70,Who should be mod_ me(hamster react) or rodentman(yeehawturtle react)_
