ID,Content Length,Content
558756258409218051,17,it's ok to be bad
559016933572345858,10,hello saul
559021475189882900,48,weird to see how they still hold it against them
559021579925979150,50,but they're not weirded out germany is our BFF now
559022220412846091,10,.avatar me
559022500629970959,42,<@115382996667858947> non non biyori movie
559030978388033538,56,I think I remember the jamaican guy in GTA 4  using that
559030985543647232,5,maybe
559031105110671390,61,but he could barely do a sentence from start to finish so idk
559031118633107457,27,<@!291956350286561282> ily2
559031922186125332,5,170cm
559031969384497164,31,<:kawaiiree:448918490921828352>
559032057830047775,2,..
559032174477836309,3,yes
559032194329214992,3,owo
559033416541143050,6,wtf no
559033447910211608,17,I'm weigh 69kg...
559034327019552770,18,no you haven't lad
559034475649040420,58,there is no picture of me online taken in the last 2 years
559034496708509698,19,that you can access
559034566875152389,4,yeah
559034577952178177,15,post it in chat
559034603206213672,22,I'll give you 10 bucks
559034639759704124,20,inb4 obese gamer pic
559034942303109120,25,not even close thankfully
559035045419941888,4,I am
559035067574255626,21,oh afraaz is here g2g
559035153377394711,33,jk ily my friendly brit neighbour
559035179797184522,36,please continue being part of the EU
559035952245243925,5,>vio?
559035985313136650,15,vio is american
559036008914485248,21,vincent is dutch cuck
559036145430691848,32,an indian telling a brit to fuck
559036158235901954,6,oh boy
559036181036138516,28,time for the raj to comeback
