ID,Channel,Content Length,Content
560637660813590548,subcount,19,**FUCKING T - GAY**
560637736449736705,subcount,8,**NEIN**
560637860580163599,memes,9,Pls money
560637871418114061,memes,1,?
560637919791022090,memes,27,Don't know any BOT commands
560638226650366002,commands,7,Pls bal
560638249136160770,commands,7,Pls beg
560638268446736386,commands,3,Yay
560638289917509662,commands,12,Thanks Oprah
560638331013300224,commands,7,Pls beg
560638435207938052,commands,12,Pls commands
560638496469942273,commands,17,pls help currency
560638555660091428,commands,9,pls steal
560638583413800960,commands,8,pls rich
560638807352016896,commands,31,pls steal <@430467034778959882>
560638855716536321,commands,7,pls bal
560638894153007105,commands,15,pls deposit all
560638958774648832,commands,7,pls beg
560638980547280905,commands,2,Ha
560639009483784223,commands,15,pls deposit all
560639119445721098,commands,8,pls bank
560639232818020354,commands,31,pls steal <@360877941485338634>
560639272445804547,commands,8,You cunt
560639313264508933,commands,7,pls bal
560639336781971456,commands,7,pls beg
560639360102563852,commands,7,Yay Joe
560639392323076096,commands,13,pls inventory
560639673282854912,commands,7,pls bal
560639704199069738,commands,7,pls beg
560639725245956096,commands,3,Hoe
560639850361913344,commands,7,pls beg
560639975561887744,commands,7,pls beg
560640003823108130,commands,11,Oprah again
560640047813099520,commands,8,!deposit
560640088053252157,commands,12,!deposit all
560640145314021397,commands,11,pls deposit
560640163819159573,commands,2,Ha
560640195653926939,commands,15,pls deposit all
560640264150974464,commands,6,'Kiddo
560640321361281026,commands,7,pls bal
560640384326303764,commands,12,pls commands
560640565922758656,commands,14,I'll be a thot
560640612186193920,commands,29,pls rob <@492083732509884417>
560640638996054056,commands,5,Thot!
560640704016154645,commands,3,Lol
560640794701070358,commands,5,Oh no
560640876142002186,commands,32,How the fuck is your bank so big
560640955318009876,commands,17,pls help currency
560641030530007041,commands,7,pls beg
560641052562817034,commands,3,Yay
560641089149599754,commands,9,pls daily
560641205256323093,commands,10,pls search
560641223908392978,commands,2,Ha
560641256791867410,commands,15,pls deposit all
560641375536676896,commands,14,pls multiplier
560641453160923156,commands,14,pls multiplier
560641521360044052,commands,8,pls work
560641547192893471,commands,13,pls work list
560641600687046667,commands,15,pls work list 2
560641688184553493,commands,15,pls work list 3
560641731230433292,commands,13,pls work list
560641798100221952,commands,16,pls work teacher
560641829360500766,commands,13,pls work info
560641877037154305,commands,23,pls work fast food cook
560641899015176192,commands,8,pls work
560641944645140490,commands,8,pls work
560642055420903449,commands,2,Ha
560642226862948353,commands,7,Lootbox
560642249226977280,commands,11,pls lootbox
560642303618842644,commands,7,pls beg
560642322522570753,commands,2,Ha
560642340025270285,commands,7,pls bal
560642369637056512,commands,11,pls profile
560642497651671061,commands,13,pls inventory
560642517901770784,commands,8,pls sell
560642568174567445,commands,15,pls sell cookie
560642587682275340,commands,4,Woaj
560642633483943937,commands,16,pls sell padlock
560642655189598218,commands,3,Wow
560642681622102076,commands,15,pls deposit all
560642706280415252,commands,11,pls profile
560642737754603531,commands,9,Cunt hole
560642767760523274,commands,29,pls rob <@319686535781810176>
560642786622308402,commands,2,Ha
560642816443940939,commands,12,Get McFucked
560642842414940181,commands,3,Get
560642871905222668,commands,11,pls deposit
560642891635097601,commands,15,pls deposit all
560643052155437076,commands,11,pls profile
560643098791641093,commands,7,pls beg
560643164470509598,commands,11,pls profile
560643209693233172,commands,7,Rob him
560643291398406144,commands,9,Mother f-
560643508361494528,commands,11,pls profile
560643536295297044,commands,7,pls beg
560643673646432266,commands,28,Top guy got robbed just then
560643720916107284,commands,3,Yep
560643791577546762,commands,29,pls bal <@492083732509884417>
560643828818640906,commands,9,The fuck?
560643853304987650,commands,9,The hell?
560643910582403092,commands,4,Nice
560644027016413204,commands,7,pls beg
560644135611269120,commands,5,Nibba
560644197745688606,commands,27,Ay_ we both got chill pills
560644216536170497,commands,11,pls profile
560644252481224733,commands,15,Worth 10 coins_
560644293627346945,commands,15,pls deposit all
560644334513291264,commands,13,pls subscribe
560644355950641177,commands,5,Crap\
560644462272053278,commands,13,pls inventory
560644495541272577,commands,18,pls use Chill Pill
560644533512306729,commands,3,Oog
560644559298887700,commands,7,pls beg
560644601153585163,commands,16,Good on ya Blake
560644618119807006,commands,8,pls work
560644953487966218,commands,7,pls beg
560644979358302228,commands,6,Cookie
560645009720737792,commands,15,pls deposit all
560645051412119582,commands,7,pls bal
560645198972190740,commands,7,pls beg
560645217137590311,commands,7,pls beg
560645278005329921,commands,20,Well screw you Harry
560645448780742687,commands,7,pls beg
560645467898380339,commands,7,pls beg
560645503096848449,commands,7,pls beg
560645771343560725,commands,7,pls bal
560645962314285059,commands,7,pls beg
560645997852622848,commands,15,pls deposit all
560646254044905482,commands,7,pls beg
560646310517145600,commands,9,pls daily
560646337134329879,commands,4,Ouch
560646527874236437,commands,7,pls beg
560646742102638592,commands,15,pls deposit all
