ID,Server,Channel,Content Length, Content
558109502654906395,SAO: Memory Defrag,off-topic,28,<:PanHmm:413509708733743107>
558110190306721792,SAO: Memory Defrag,off-topic,14,I’m the draven
558110194828050452,SAO: Memory Defrag,off-topic,1,😃
558110291620266015,SAO: Memory Defrag,off-topic,19,Did rere try to 1v9
558110467940286465,SAO: Memory Defrag,off-topic,10,Even worse
558110564534976562,SAO: Memory Defrag,off-topic,19,Vayne top with heal
558110578673975298,SAO: Memory Defrag,off-topic,4,Woah
558110680151228427,SAO: Memory Defrag,off-topic,25,Oh she’s finally ranking?
558110730201726977,SAO: Memory Defrag,off-topic,12,Good for her
558110740049821696,SAO: Memory Defrag,off-topic,14,Ranked is good
558110849017970719,SAO: Memory Defrag,off-topic,6,Hi Rey
558110854390743063,SAO: Memory Defrag,off-topic,2,Oh
558110937434030102,SAO: Memory Defrag,off-topic,11,Nice timing
558110946841591809,SAO: Memory Defrag,off-topic,13,I got support
558110992559767583,SAO: Memory Defrag,off-topic,35,<a:FeelsRainMan:518742843213217803>
558111000356978700,SAO: Memory Defrag,off-topic,22,i never get AD anymore
558111103696109570,SAO: Memory Defrag,off-topic,3,yes
558111207068925962,SAO: Memory Defrag,off-topic,8,try pyke
558111213695795210,SAO: Memory Defrag,off-topic,6,funner
558111222697033761,SAO: Memory Defrag,off-topic,38,<:FeelsWeirdSadMan:468525770348822548>
558111273049653258,SAO: Memory Defrag,off-topic,4,good
558111285745811457,SAO: Memory Defrag,off-topic,32,<a:BonneyNod:522472633657196544>
558111372416909338,SAO: Memory Defrag,off-topic,13,Its different
558111395938435082,SAO: Memory Defrag,off-topic,32,but you wont know if you like it
558111404603736086,SAO: Memory Defrag,off-topic,12,till you try
558111417836896257,SAO: Memory Defrag,off-topic,30,<:PanHappy:366809501334110209>
558111552633569306,SAO: Memory Defrag,off-topic,18,Trusting in league
558111579833630721,SAO: Memory Defrag,off-topic,34,<:FeelsOkayMan:358831113533128716>
558111848185200700,SAO: Memory Defrag,off-topic,2,Oh
558111879021592586,SAO: Memory Defrag,off-topic,28,Vayne gets banned every game
558111903574917135,SAO: Memory Defrag,off-topic,34,Nerf her already so I can play her
