ID,Server,Channel,Content Length,Content
558801617911152649,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
558821104979017749,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
558821192060895253,FlareTV - PewDiePie vs T-Series,subcount,40,It’s been a few days since we’ve hit 40k
558826287003861002,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
558829002127573014,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
558832794260733978,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
558841286228967435,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
560640523770003466,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
560640556477448195,FlareTV - PewDiePie vs T-Series,subcount,15,This is it bois
560640598219161615,FlareTV - PewDiePie vs T-Series,subcount,33,It’s nearing the 24 hour mark now
