ID,Server,Channel,Content Length,Content
560286816318521344,MINECRAFT,minecraft,178,<:dsword:309458615041916928> <:villager:302438918048186368>  <:steve:302438795385634847>  = <:mccoin:442734230175481856> <:mccoin:442734230175481856> <:mccoin:442734230175481856>
560286867589955594,MINECRAFT,minecraft,7,Bye gtg
560952034933604352,MINECRAFT,off-topic,19,To greedy Microsoft
560954703903457280,MINECRAFT,off-topic,0,
560954811000946725,MINECRAFT,off-topic,18,Crazey dared me to
560954869087731752,MINECRAFT,off-topic,0,
560954996083130368,MINECRAFT,off-topic,19,*you* SeE SAntA NAp
560955132347416606,MINECRAFT,off-topic,3,Meh
560955190908420126,MINECRAFT,off-topic,18,PS4 is bad console
560955228422144011,MINECRAFT,off-topic,14,XB1X is better
