ID,Server,Channel,Content Length,Content
560639887838150666,MINECRAFT,beta-n-bugs,341,hello people 😃 Anyone know about sitting cats which stand up after a while and teleport to the player. Its happening to me on the latest snapshot 19w12a but has also been happening on the past few snapshots. looked it up and apparently its been happening in Minecraft for a long time_ maybe something to do with chunks loading and unloading?
560644762466648066,MINECRAFT,support,59,<@195294392079220738> Have you tried restarting the server?
560645340932603934,MINECRAFT,support,67,I'm unsure i just got on here myself_ it may just be a snapshot bug
560646218632527893,MINECRAFT,builds,33,you on pc? check your recycle bin
560646707914735616,MINECRAFT,support,197,here is a wiki page on creating a server_ it should be up to date for 1.12.2 but it does advise some knowledge before starting a server https://minecraft.gamepedia.com/Tutorials/Setting_up_a_server
560647264700203039,MINECRAFT,support,27,the mobs are still spawning
560647442866110524,MINECRAFT,support,30,thats a server issue i believe
560648623264759820,MINECRAFT,support,31,Malwarebytes is a great program
560649156343889920,MINECRAFT,support,44,ooo they've updated the website_ looks fancy
560649532204122113,MINECRAFT,support,41,the snapshot probably messed up something
560649953685405723,MINECRAFT,support,109,I have the same issue_ I had the bad omen effect 24/7 because they keep spawning about every 2 Minecraft days
