ID,Server,Channel,Content Length,Content
559070977124728842,masterani.me,18plus,5,Fake?
559071178761961502,masterani.me,18plus,22,Not complaing. At all.
559096781791821844,masterani.me,lounge,27,I feel like i should laugh.
559097488003301377,masterani.me,lounge,53,Lovely Complex is good_ if you need to feel wholesome
559097753159073825,masterani.me,lounge,5,Gud 1
559097895425540135,masterani.me,lounge,25,When she was fucking you.
559098106436648960,masterani.me,lounge,24,The dick makea her cuter
559098225726980106,masterani.me,lounge,7,I agree
559098473585311765,masterani.me,lounge,3,Lol
559098701147275284,masterani.me,lounge,45,I wouldnt say that. His moms real and a funta
559099156392837132,masterani.me,lounge,17,Nippon propoganda
559099177611558912,masterani.me,lounge,9,Disregard
559100520778694662,masterani.me,lounge,25,You are indeed the first.
559100945619746817,masterani.me,lounge,53,SAO is the Fortnite of anime. Take that how you will.
