ID,Content Length,Content
559008308225376276,60,I get bad chest and back acne don’t care to much for my face
559008674807545856,5,Doubt
559008863756746793,36,Don’t know many kids without it here
559008972288425990,19,One kid has extreme
559009012176388126,15,Like xma + acne
559009101120667681,8,Bud like
559009135237005331,9,Not great
559009277562322964,29,My eyes are also bloodshot af
559009388996853765,9,It’s 1243
559009456353181696,36,And Mr robot is to fucking addicting
559009492440973333,19,Like it’s sooo good
