ID,Server,Channel,Content Length,Content
558427475160334337,Comedy Heaven,general,45,do u guys want to join standup comedy discord
558427487609290753,Comedy Heaven,general,19,i am about to go on
558427601366941707,Comedy Heaven,general,25,https://discord.gg/zQGJj8
558427614344380416,Comedy Heaven,general,2,oh
558427624553054218,Comedy Heaven,general,5,sorry
558428210870747167,Comedy Heaven,general,70,im really disappointed that none of you came to my stand up comedy set
558428288243204096,Comedy Heaven,general,14,thats a flower
558428648596570122,Comedy Heaven,general,7,sex>sex
558428663725555723,Comedy Heaven,general,10,am i right
558428737608220673,Comedy Heaven,general,27,imagine pre mediated murder
558428745564684300,Comedy Heaven,general,77,<:woo:511968284132769802> <:woo:511968284132769802> <:woo:511968284132769802>
558428753701896233,Comedy Heaven,general,77,<:woo:511968284132769802> <:woo:511968284132769802> <:woo:511968284132769802>
558428853975121941,Comedy Heaven,general,5,linds
558428951635165215,Comedy Heaven,general,25,<:woo:511968284132769802>
558428975672852491,Comedy Heaven,general,25,<:woo:511968284132769802>
558429098096197632,Comedy Heaven,general,12,son of bitch
558429200210460682,Comedy Heaven,general,12,mark it nsfw
558429205516386344,Comedy Heaven,general,5,idiot
558429304996757505,Comedy Heaven,general,33,i thought it was going to be porn
558429309354770447,Comedy Heaven,general,4,liar
558430367279742987,Comedy Heaven,general,8,remember
558430415178694656,Comedy Heaven,general,31,i do know about taco bell foods
558430424465145867,Comedy Heaven,general,16,and what is good
558430574633811979,Comedy Heaven,general,42,<@222398497393999872> i have the knowledge
558430697464004649,Comedy Heaven,general,56,cheesy gordita crunch tacos are the best thing they have
558430767395504142,Comedy Heaven,general,8,gordoita
558430812786130954,Comedy Heaven,general,15,spelling errors
558430817555185674,Comedy Heaven,general,3,woo
558430855144407057,Comedy Heaven,general,7,oh yeah
558430898001936394,Comedy Heaven,general,34,if you make errors you’re retarded
558430968910708811,Comedy Heaven,general,4,nice
558432094691393576,Comedy Heaven,general,26,im a depression man myself
558432275436404763,Comedy Heaven,general,20,i enjoy the cannabis
558432410052591616,Comedy Heaven,general,18,because ur a bitch
558432517796134973,Comedy Heaven,general,3,why
558432634607239179,Comedy Heaven,general,3,why
558432806188089346,Comedy Heaven,general,36,i have no had weed since 12 pm today
558433594356531210,Comedy Heaven,general,55,you guys are all speaking EU talk when i am america man
558433611129290752,Comedy Heaven,general,26,sittinf here not following
558433636399972356,Comedy Heaven,general,2,oh
558433839790161950,Comedy Heaven,general,32,quid is slang if im not mistaken
558433854126292993,Comedy Heaven,general,5,right
558433895540981780,Comedy Heaven,general,14,yeah its slang
558433923626041347,Comedy Heaven,general,10,im correct
558433929158459392,Comedy Heaven,general,13,im very smart
558433941145518105,Comedy Heaven,general,17,international man
558434222889631755,Comedy Heaven,general,11,synthesizer
558434227872333824,Comedy Heaven,general,6,videos
558434278288130088,Comedy Heaven,general,14,is shelf black
558434484551155723,Comedy Heaven,general,15,monster us good
558434498438627333,Comedy Heaven,general,2,is
558434597436784661,Comedy Heaven,general,7,shut up
558434725958647847,Comedy Heaven,general,10,ultra what
558434757046960150,Comedy Heaven,general,35,theres monster ultra red blue black
558436940953944085,Comedy Heaven,general,14,3 white prople
558436949153808395,Comedy Heaven,general,4,wowe
558440662110961667,Comedy Heaven,general,19,i dont like algebra
558442167258054677,Comedy Heaven,bot-commands,5,!rank
558442212556537877,Comedy Heaven,general,16,im not cutrently
558442276913938433,Comedy Heaven,general,4,haha
558770737452679208,Comedy Heaven,general,10,nigga hill
558791201633861641,Comedy Heaven,general,11,to the left
558791337231515650,Comedy Heaven,general,21,take it back now yall
559010335948800001,Comedy Heaven,general,2,so
559010354861047847,Comedy Heaven,general,14,whats the what
559061964316344330,Comedy Heaven,general,18,watchout watch out
559061981890609193,Comedy Heaven,general,9,watch out
559062020964614157,Comedy Heaven,general,9,watch out
559062053625528372,Comedy Heaven,general,3,its
559062136375214082,Comedy Heaven,general,0,
559062396740698113,Comedy Heaven,general,7,kumquat
559062560360628245,Comedy Heaven,general,6,spiffy
