ID,Content Length,Content
559008424096956456,11,India alert
559008504254431253,33,Edit message exists for a reason.
559008559107670016,6,No you
559008744202174464,68,<@406092049130061825> Respect. Doesn't matter who wins or who loses.
559009611592630302,286,ALRIGHT. NO ONE SHOULD BE DISRESPECTFUL TO EITHER PEWDIEPIE OR T-SERIES_ I MAY BE A PEWDIEPIE FAN MYSELF BUT THAT DOES NOT MEAN I SHOULD BE DEFENDING HIM FROM T-SERIES BY MOUTH AND HANDS. I RESPECT BOTH OF THEM BECAUSE I WANT BOTH OF THEM to collaborate <:HyperChamp:514172704073711616>
559009706660593676,29,<:nobully:553637816265867284>
559009721936510986,29,<:nobully:553637816265867284>
559009748071088139,58,<:nobully:553637816265867284> <:SadCat:519226311273611289>
559009843336183809,4,What
559009925682954250,30,<:YouTried:532225847147364352>
559009952845266945,29,<:youWhat:554985510280626176>
559010042695647235,25,<:Ban:528199180578193423>
559010101864824834,2,Uh
559010152100003860,59,You didn't see the yellow color so he didn't ping everyone.
559010204608495618,27,<@531987336406499357> Nice.
559010253786710017,34,Alright. I will end this nonsense.
559010312204976148,34,Youtube's Rewind sucks every year.
559010425828540446,48,I said it_ Rewind time sucks if YouTube does it.
559010727013253131,90,India is known for its country size and population_ ain't I right   <@406092049130061825>?
559011030034939916,5,Nice.
559011114071883809,56,I heard they have the lowest prices on the finest dishes
559011239267794964,49,Well_ we just solved our bully crisis_ didn't we?
559011375331147827,80,Alright_ PewDiePie and T-Series should collaborate_ ain't that just about right?
559011499688067103,4,Wait
559011528175779870,19,Am I a Level 5 now?
559011557477056515,12,Oh jeez I am
559011616625262602,37,Does that mean I can post picture now
559011671532634112,16,Can I post here?
559011847601127435,0,
559011902496178187,20,Alright_ no insults.
559011940106633226,16,Jack is the man.
559012044943261717,0,
559012081937022976,0,
559012179492208640,36,I wonder who made their PFPs better.
