ID,Content Length,Content
558800008326021163,218,Ppl following along (they usually only come in like 4 more hours but here) so asked my GF and no she's good im not clingy and shell try to kiss me outside of school cause she's shy but I can go at it she doesn't mind 😙
558800031487098880,27,Or at least it's like pecks
558800041972727829,13,Okay carry on
558800789515141120,36,Huh sorry about that I was in a rush
558801032826716181,50,I didnt want to flex if you guys took it like that
558801068952387584,58,I was just concerned that I was a clingy bf but she's fine
558801089483505675,15,From last night
558801367137910795,35,Be open_ yourself_ and observative?
558801393566089236,33,I can explain more but I gotta go
558831181718880257,72,you'll kill your liver real fast and yeah it can cause internal bleeding
558831244155289610,17,if you take a lot
558842708639219715,59,i mean as much as i stab myself for it its normal i guess??
558842731921932289,40,i mean is this a crush or infatuation or
558842845163945985,149,i mean my past situation had nothing bad going on but my current situation i guess it makes sense since we're dating and progressively growing touchy
559077555899072563,7,How umm
559077657086525456,111,Do I kinda integrate my GF into my friend group cause it's gonna suck long term if they can't like talk or smth
559077837014040582,130,They can talk but for some reason either they're anxious or don't know what to talk to her about_ only one of them can talk to her
559077851865808897,3,Huh
559077883017166848,43,I mean just kinda point out something funny
559078038583902238,130,Have a chuckle until someone notices or something and then if they look or ask you can say what your laughing at and start a convo
559078252543475722,45,Yo otakufy I haven't seen you in like 2 weeks
559078294952214528,54,Also yeah what <@270517585609621505> said is also good
559078415299510274,77,Go about like hey is this seat taken or something and then introduce yourself
559078491979645002,26,"oh where you're heading?"
559078577857888278,67,I mean unless the bus is entirely empty and it's just like 3 people
559078607075672064,23,Still do so just not so
559078623311560706,3,Idk
559078741112913920,49,I try bringing her along to the spot I usually am
559078868623949824,151,But I feel like im traumatizing her because of my not very close friend being integrated into the group who I mean they act like 7th graders around him
559078898999230494,34,Im the factor keeping us civilized
559078951465517056,70,I pay less attention to them for 2 weeks and then they fall into chaos
559079001675792395,47,And only one of them will talk to my girlfriend
559079860648017920,4,Yeah
559082265846611978,26,Yea the drops get annoying
559088739469754380,49,I don't get how blowjobs are nice for the girl???
559088790681944074,33,Wait oh you guys changed subjects
559088882453446663,45,Sorry for interjecting some teenage horniness
559088923935113268,14,Boobs are nice
559088943459729420,12,Big or small
559089006948909057,36,Guys don't make me think about my gf
559089071922610216,68,Otherwise im gonna like ram my head into the wall thinking about sex
559089125257379879,33,***BRYAN YOUR BETTER THAN THIS***
559089713844322305,113,It's like the worst fucking feeling when you give someone a peck or she hugs you or something and you get a boner
559089760593772554,4,Like
559089776204972090,22,I don't think about it
559089788188098595,15,It just happens
559089809285578792,13,And i hate it
559089885559128064,55,Either one day she'll notice the boner or im gonna like
559089895583383564,14,Oh that's nice
559089911525801986,23,How's it going with her
559090023769571329,83,Im fine with hugs but for some reason she gives me a boner like a third of the time
559090061883342878,33,Everyone else I don't get a boner
559090127209496590,26,Unconsciously or something
559090180674420736,73,I mean you can probably find her pic if you look in <#287073734664257537>
559090295820648499,92,My friend who had fingered his ex GF (sorry if this isn't sfw) said it eventually calms down
559090361914359819,69,But then again... They were like really close to actually doing it so
559090620581543937,12,Mean neither
559090647643193344,16,First girlfriend
559090653431332873,2,So
559090735563931678,39,I mean if all goes well with your crush
559090758733398016,32,Shell probably give you a chance
559090805923381248,67,That's what happened with my other situation but it didn't end well
559090829793427471,23,How close are you guys?
559091319197401109,54,Which is a lot considering like 60% of guys are wusses
559093455016558605,156,My depresso friend keeps recommending me comedy anime or like Overlord_ my girlfriend recommends me romance anime_ my Asian weeb friends recommend me isekai
559094129037148173,16,I give her pecks
559094140776874016,6,We hug
559094164034420767,4,Pets
559094216035401739,48,Im like 15 and a half she's umm... 2 years older
559094282166992937,46,But everyone thought she was my age or younger
559095010193309736,12,That's awful
559096214604480522,20,5 minutes of torture
559096756202242106,2,Oh
559096779585486849,26,I mean like it's coming up
559096811088773138,10,Not coming
559096828059189288,15,What happened ?
559096909139279890,7,Ah nice
559097340032450671,3,Hm?
559097880724504626,42,It's great to have similar music interests
559097901759070209,26,Or music openness at least
559097967802580993,63,*old crush didn't like music so that was like a stab to my leg*
559098017148305443,32,It's okay to obcess a little but
559098022038863882,3,Bit
559098029940932663,10,Just a bit
559098046663884800,18,Don't go overboard
559098834911756349,26,yeah your all greenlighted
559098858072965123,15,ask her out man
559099067649753098,3,lol
559099179184553985,88,https://tenor.com/view/parks-and-rec-amy-poehler-thumbs-up-approved-approval-gif-4967661
559099545959661586,10,prioritize
559099633813553172,30,ey its hard to type on a phone
559112718850981909,104,i mean imo she seems like the kinda person to not ditch a guy just cause he had romantic interest in her
559113416573190165,82,i mean you could try a hook-up but personally i feel like relationships are better
