ID,Server,Channel,Content Length, Content
558111558966837249,r/teenagers,debates,6,murika
558111623454130197,r/teenagers,debates,47,assault weapon has no definition in US politics
558111678466883584,r/teenagers,debates,35,people call ar-15's assault weapons
558111696837672961,r/teenagers,debates,3,kek
558111718790791169,r/teenagers,debates,17,oh yeah of course
558111835262287872,r/teenagers,debates,10,FAMAS_ too
558111856636723230,r/teenagers,debates,29,i_ too_ know my cs;go weapons
558111926803234842,r/teenagers,debates,1,😦
558111945287270400,r/teenagers,debates,3,rip
558112126636392448,r/teenagers,debates,33,the world revolves around america
558112137155706907,r/teenagers,debates,9,obviously
558113631468781578,r/teenagers,debates,18,idk my cheese tbh.
558113674921902090,r/teenagers,debates,63,but i always pick provolone when i go to subway does that count
558116966896762880,r/teenagers,debates,96,identify the root problems of the violence instead of just banning the tools used to execute it.
558116990502305792,r/teenagers,debates,3,tbh
558117692351971332,r/teenagers,debates,47,imagine living in a country with murika freedum
558117754998226945,r/teenagers,debates,20,lobbying is all good
558117767233142784,r/teenagers,debates,29,as long as money is out of it
558846050581086241,r/teenagers,debates,80,personally_ everyone should fix themselves so that humans can finally go extinct
559002805986263042,r/teenagers,debates,35,direct democracy has other problems
559002826513317888,r/teenagers,debates,30,mostly appears in larger areas
559002837300936722,r/teenagers,debates,17,demagoguing_ etc.
559003059397853218,r/teenagers,debates,85,it would fail to represent the states as a whole_ assuming we're talking about the US
559003145359851522,r/teenagers,debates,81,the new moves against the electoral college that states are taking is stupid_ imo
559003386931052544,r/teenagers,debates,23,>it does in switzerland
559003445034483736,r/teenagers,debates,47,switzerland is fucking small compared to the US
559003510926999563,r/teenagers,debates,60,imagine each state in the US being like a separate "country"
559003559203438593,r/teenagers,debates,74,giving up sovereignty in exchange for compromise and active representation
559003642955431937,r/teenagers,debates,64,direct democracy will not be compatible with a place like the US
559040121765101568,r/teenagers,debates,31,you **should** and **need to**.
559040244708802592,r/teenagers,debates,86,I mean_ if you want to be a productive member of society_ knowing the vernacular helps
559040252145172500,r/teenagers,debates,14,but ill scroll
559040254066163755,r/teenagers,debates,3,brb
559040571918909451,r/teenagers,debates,3,???
559040581817466898,r/teenagers,debates,9,it doesnt
559040624100245524,r/teenagers,debates,9,people do
559042368683245568,r/teenagers,debates,3,lol
559044890332233729,r/teenagers,debates,128,the trade war's a bit questionable_ but i think that it's necessary to have some economic protectionism especially against China
559044913610752011,r/teenagers,debates,46,that might not be the right term_ but whatever
559045176144953344,r/teenagers,debates,38,<@!325983451331166208> not necessarily
559045267551420426,r/teenagers,debates,176,a lot of people will pull the "privilege card" in discussion <@!325983451331166208> _ so it's part of the conversation these days what your ethnicity is_ as stupid as it sounds
559045311339954176,r/teenagers,debates,3,lol
559045399588110356,r/teenagers,debates,21,>enlightened centrism
559045435403141140,r/teenagers,debates,0,
559045563698511907,r/teenagers,debates,73,stating both the good and bad shit he's done is not middle ground fallacy
559045593448710144,r/teenagers,debates,54,that's called stating the good and bad shit he's done.
559045669466406922,r/teenagers,debates,19,>wapoNL>opinionNL>aoc
559045790316756993,r/teenagers,debates,43,opinion journalism in politics is a disease
559045933627736094,r/teenagers,debates,12,>john oliver
559045940909178880,r/teenagers,debates,10,>hard pass
559046051730817060,r/teenagers,debates,34,isn't he one of those "comedians"?
559046071704223747,r/teenagers,debates,32,late night politics is a disease
559046255779512333,r/teenagers,debates,138,fuck fossil fuels_ and if you think renewables can work for everything_ then that's misguided_ at least for now and the foreseeable future
559046284569477121,r/teenagers,debates,41,nuclear is half the reason i support yang
559046357235531782,r/teenagers,debates,23,fusion will be a while.
559046384922132518,r/teenagers,debates,36,it takes a metric fuck ton of energy
559046394875215898,r/teenagers,debates,15,but if we do it
559046412214730753,r/teenagers,debates,18,Okay_ that's epic.
559046598617858058,r/teenagers,debates,72,<@261177081600147457> fusing atoms together and getting energy from that
