ID,Server,Channel,Content Length,Content
559031670880075798,FlareTV - PewDiePie vs T-Series,general,17,weird flex but ok
559031823552872488,FlareTV - PewDiePie vs T-Series,general,25,wtf are you guys playing?
559031893509800002,FlareTV - PewDiePie vs T-Series,general,9,turns out
559031914019946498,FlareTV - PewDiePie vs T-Series,general,15,she was just 12
559031938321612830,FlareTV - PewDiePie vs T-Series,general,3,FBI
559032093242425347,FlareTV - PewDiePie vs T-Series,general,5,🇫 🇧 🇮
559032183717756929,FlareTV - PewDiePie vs T-Series,general,27,<:thunk:534137654166552638>
559032253146202125,FlareTV - PewDiePie vs T-Series,general,6,SAY IR
559032256136609834,FlareTV - PewDiePie vs T-Series,general,1,T
559032274708987915,FlareTV - PewDiePie vs T-Series,general,6,say it
559032371475644438,FlareTV - PewDiePie vs T-Series,general,34,DONT SAY THE N WORD THATS RACIST!!
559032516913266699,FlareTV - PewDiePie vs T-Series,general,8,kids:...
559032528527163392,FlareTV - PewDiePie vs T-Series,general,10,gkspgjnsfg
559032542951637012,FlareTV - PewDiePie vs T-Series,general,3,oof
