ID,Content Length,Content
558859543141154827,44,https://mangarock.com/manga/mrs-serie-242919
558860311793369088,195,^ isekai but in a fucked up world that only has Skyscrapers. You can't get to the ground_ you can only travel through rooftops and have to avoid these masked people that are programed to kill you
558860461890732035,62,It's much more interesting than how I described it I swear lol
560600608374259722,38,<:GWjiangoPenguDab:408280804675026965>
560623360405536809,65,yeah I'm sure we are gonna see more and more crazy strong S ranks
560623624575516682,67,but looks like this one wants revenge_ can't wait to see his powers
560623775901810699,77,also_ ||the dad|| is on his way to meet the mc <:pogchamp:274203037357178881>
561009642759520256,24,ahhhhhhhhhhhhhhhhhhhhhhh
561009652222132224,28,https://youtu.be/THK-VDKxvgI
561009780563640320,111,it was such a good manga_ why do they have to go and make it shit by using cgi <:biblethump:230662494203412490>
561009855289360384,14,still hype tho
