ID,Channel,Content Length,Content
558427474359484447,support,20,Alright thank you c:
558439284542013450,minecraft,3,Yes
558439544698044443,minecraft,105,<@482549821157408770> https://www.h3xed.com/pc-gaming/start-a-minecraft-server-and-play-with-your-friends
558439593456959522,minecraft,28,Oh we can't post links here?
558439716782080010,minecraft,39,Bruh bing is the superior search engine
558439770007666688,minecraft,42,Nay_ it is ***the supreme search engine***
558439955152502820,minecraft,17,That dude is gone
558439983094956052,minecraft,5,🦀 🦀 🦀
558440813185466369,minecraft,42,Wait we can't even talk in vc sub level 5?
558440844449939466,minecraft,20,That's... a bit lame
