ID,Channel,Content Length,Content
558825302672015387,minecraft,10,they nice.
558825694772330496,minecraft,63,Remember when you had to download minecraft on the old website?
558825929963733013,minecraft,45,Can I say something not related to minecraft?
558826479647981579,minecraft,96,remember when the game that ends in nite wasnt a thing and everyone cared about cool-math-games?
558826616550064129,minecraft,42,o no. not ricardo milos.. Summon thy giant
558826740726628373,minecraft,11,mine field.
558827025318674432,minecraft,67,<:thinksteve:425381858121875459> arent we in a server of happiness?
558827374377173003,minecraft,57,The new minecraft update gave us a part of a texture pack
558827747120775171,minecraft,114,<@525139531813355521> you should expect a lot of messages here. for example_ Someone swearsNL- Everyone is typing -
558828104185937920,minecraft,142,<@446299708391161877> Please stop telling people to DM you. I ran into someone that messaged me to join their server for a free money giveaway
558828301595049995,minecraft,5,O wow
558828475046166538,minecraft,121,don’t you hate it when you’re in a christian minecraft server then someone curses multiple times after falling into lava?
558828539374469128,minecraft,26,aw my sentence was removed
558828654436548624,minecraft,3,mhm
558828901195841537,minecraft,161,If there was a minecraft texture pack that made skeletons torsos and legs invisible and changed their bow into a trumpet and fires notes. That would be beautiful
558829069769113611,minecraft,3,[F]
558829144385781761,minecraft,28,pay respeccs for samdasquid.
558829362196119603,minecraft,32,>:ONLR e d. .NLDid youNLS w e a r ?
558829545138946064,minecraft,33,We bout to go full minecraft mode
558829797774589953,minecraft,21,Red you swore as well
558829961759424533,minecraft,36,minecraft_ Why are we all here then?
558830223420817428,minecraft,45,trying to relieve my headache but not working
558830296707891220,minecraft,27,might as well get a tylenol
558830329394233354,minecraft,21,idk how to spell it 😛
558830396372942850,minecraft,18,man that was quick
558830437712003082,minecraft,4,java
558830590946705438,minecraft,3,bye
558830670445674498,minecraft,74,don’t forget to say yer prayers to the ones who didn’t deserve to be muted
558830829761986586,minecraft,52,Thats canada in a nutshell. When its winter at least
558830863391916042,minecraft,14,A snow village
558831019059445810,minecraft,28,snow isnt melting by torches
558831204162338826,minecraft,43,congrats on leveling up from understanding!
558831250928828426,minecraft,31,and I leveled up by saying that
558831292704096286,minecraft,30,and now I can send pictures! 😄
558831384135860236,minecraft,49,<@!152810880722010112>  don’t forget about Nathan
558831555728900116,minecraft,38,forget what I said I just realized =-=
558831785727885323,minecraft,8,ecks dee
558832044470173706,minecraft,55,<@446299708391161877> You’re still asking people to DM?
558832294329319432,minecraft,38,man_  my head is hurting even more now
558832571480539147,minecraft,126,<@!269895895246569473> Don’t forget to shift if ye wanna live while building! who knows if a phantom appears while you buildin
558832618091708456,minecraft,4,no u
558832664875106305,minecraft,4,no w
558833002864705536,minecraft,57,Remember when Ink sacs didn’t need to be turned into dye?
558833207135567923,minecraft,19,yeah I need tylenol
558833479731642391,minecraft,27,this chat ran out of health
558833544265334806,minecraft,21,me. Good XP generator
558833684044840960,minecraft,43,<@540711294207131676> why are we here then?
558833790844403722,minecraft,47,idk. Phil swift is gonna fix it with flex tape_
558833942065840143,minecraft,89,why are we in this minecraft server then if we don’t like Minecraft is what I was meaning
558834171087159326,minecraft,70,What if we are able to use our levels for enchantments on this server?
558834270521524245,bot-commands,5,!rank
558834651825700864,minecraft,43,<@352834291002114050> swore in bot commands
558834838560440351,minecraft,11,who dosent?
558834942189109251,minecraft,35,Its technically a free texture pack
558835102017388555,minecraft,72,and adding oter things like the crossbow_ and put the shield back in too
558835184338731039,minecraft,27,and who DID kill this chat?
558835446348513301,minecraft,55,I remember when we had to get minecraft off the website
558835616436191232,minecraft,2,..
558835753627549707,minecraft,40,<@550816499531776012> wants to get muted
558835818433871873,minecraft,4,wai?
558835935035392010,minecraft,4,no u
558836110252572682,minecraft,8,I typeth
558836164556226570,minecraft,22,I will continue typing
558836269723942929,minecraft,6,I type
558836420895178782,minecraft,7,I type_
558836573421043722,minecraft,45,I’m just wondering what happened to this chat
558836619159797761,minecraft,8,Finally.
558836694896607232,minecraft,3,>:O
558836748151422977,minecraft,19,don’t pay respects_
558836774646841345,minecraft,16,they deserved it
558836911771484182,minecraft,23,whoops. IT deserved it?
558837220060954634,minecraft,30,I really need to get a tylenol
558837400449581087,minecraft,15,or either cats?
558837429482553368,minecraft,16,they drop string
558837464270241808,minecraft,27,I mean its cruel to kill em
558837795527983113,minecraft,30,is it a money giveaway server?
558837834685874189,minecraft,23,I ran into one of those
558837863882424344,minecraft,2,oh
558837911273996308,minecraft,37,I mean. Why? you already got one here
558838074252197909,minecraft,6,Crouch
558838160843341844,minecraft,7,Welcome
558838315051253777,minecraft,41,Remember when cookies were more valuable?
558838342595379200,minecraft,10,well_ cya!
558846806994190346,minecraft,35,I don’t have school for 9 more days
558846886639960065,minecraft,56,waiting for my mom to come back from the philippines. :l
558847014360711178,minecraft,28,Bot commands by saying !rank
558847659310448656,minecraft,6,Night.
558847785185574945,minecraft,4,o no
558847868144844820,minecraft,28,Can we get an F in the chat?
558848133686099969,minecraft,24,okay I’m gonna rest now.
558858603440898063,bot-commands,5,!rank
558858759653556246,minecraft,15,e = Minecraft 2
