ID,Server,Channel,Content Length,Content
560621295755067430,r/teenagers,general,9,I'm bored
560621383915274241,r/teenagers,general,2,um
560621406304468992,r/teenagers,general,3,wut
560621470523326464,r/teenagers,general,4,no u
560621522566512664,r/teenagers,general,9,I'm bored
560621532473196574,r/teenagers,general,14,idk what to do
560621732940087296,r/teenagers,general,25,<:oof:352235249725603840>
560626364764651551,r/teenagers,general,46,this song I'm listening to is actually so good
560626416475963392,r/teenagers,general,11,sway is bad
560626432007471115,r/teenagers,general,15,i don't like it
560626525532323840,r/teenagers,general,79,https://open.spotify.com/track/5zTX7MeCrTX5ZBFSqJS7XZ?si=9bzwUz5TRM6JWxt49sxiRw
560626535619493893,r/teenagers,general,22,this song is rlly good
560629335191715851,r/teenagers,general,3,oof
560629648317218847,r/teenagers,general,124,Fun Fact: asking someone "Are you lasagna_ because you belong in my pants" increasing your chances of getting laid by 69420%
560629915246919737,r/teenagers,general,35,Garfield is Ricardo wake up sheeple
560629970880167956,r/teenagers,general,41,Garfield = <a:ricardo:536633433728876565>
560630085254905886,r/teenagers,general,35,<a:ricardoFlick:535883959913938974>
560630166896771094,r/teenagers,general,5,🐷 cow
