ID,Content Length,Content
558428244878295041,2,ah
558428250376765440,4,glhf
558428460259737610,1,^
558428521089859595,48,my zed was clean that game <@230340097147535360>
558428881284104203,93,heart is such a cute big brain player and i could never tell him that if he was in the server
558429503647645707,58,<@!291107787910545408> give me kaguya and no one gets hurt
558429596580708363,30,understandable have a good day
558429635055058963,18,cake give it to me
558429651236552819,21,and i'll give it back
558429665056784395,23,just to prove him wrong
558429710418182146,4,cake
558429713945722921,3,pls
558439408122986522,8,ez carry
558439420928327690,16,well time to eat
558441907198361600,39,komi lewds when? <@!288519070574313473>
558441933534658560,34,loss streak? <@!73193539491598336>
558441950227726346,25,happens to the best of us
558442109464739861,19,just download blitz
558442131933626388,33,and it literally gives you builds
558442155924914176,27,idk why people don’t use it
558442709665447998,12,no new alice
558442741021933573,23,but a bunch of quinella
558442749678846005,38,<:GWsetmyxPeepoCry:405382963057000458>
558443510290710529,2,no
558443527592214556,19,it’s in kira server
558446204392833044,40,att always asking katsura to duo or flex
558446223938551819,29,but he never asks me anything
558446275490611221,36,<:FeelsPeppedMan:315823891165741058>
558446466973040662,35,att saying i don’t know how to play
558446482655674410,23,i’m gonna cry some more
558446622137385010,28,https://youtu.be/ihQ1780dBZA
558446640814620673,25,i’m listening to this now
558449376486490112,23,urgot didn’t build tabi
558449391883649044,10,vs a yasuo
558449397222866944,5,yikes
558449562780565514,19,not lethality varus
558449581080313860,27,so it’s hard for me to care
558449592157470760,26,<:hehe:315823957301526529>
558454664836939804,45,<@!198184910073233418> <@!291107787910545408>
558454824342126614,44,my shitposts are better than your loli posts
558454849675460609,24,i 1/1000 times get a LOL
558454869103607813,16,no one ever says
558454885683560504,18,nice loli katsura!
558455227804811264,40,you’re lucky i’m dogshit at making memes
558455389109092362,53,katsura posts a loli while expressing his piss fetish
558455409711513610,28,everyone else in the discord
558455419945877517,14,insert tom pic
558455422969970689,2,ez
558456011531354114,70,so the only champs i had a good win rate in ranked on is yasuo and zed
558456021333573640,11,interesting
558456151172186152,33,why on earth would i ever do that
558456241005920268,59,i’m afraid to tell you commander that i do not like spiders
558456362162585620,3,nou
558458525299245067,3,LOL
558465328561258506,51,can you send me ur wallpaper <@!100300656132231168>
558465335666147349,10,both parts
558465345162051594,31,<:tsunalice:315824357857558531>
558465462715809792,51,can you text me it so i remember what it feels like
558465507708370944,19,i love hitting edit
558465520261660673,13,i’m very slow
558466196702363649,76,love is war is the only anime where i’ve watched the intro every single time
558470586804994059,22,GAREN DOESN’T NEED CDR
558470645349089281,15,AD ARMOR HEALTH
558470659571712002,17,OR AD ARMOR ARMOR
558470690466955264,21,depends on enemy team
558473352663007263,21,WHAT ARE YOU BUILDING
558473380005675026,25,I SWEAR TO GOD IF IT’S IE
558836998660685884,95,<@!209153911263723520> you would have won if you went randuins thornmail instead of building IE
558837037042761738,19,for that garen game
558837185818787860,66,tf and shen do no damage to you and yasuo and yi all rely on autos
558838811165982750,27,the truth will set you free
558838847945834496,36,but first it will make you miserable
558839353036636161,17,no cure for fools
558840143612739619,1,^
558840183014031370,25,can always rely on ancool
558842788062691348,25,making a mii but after ye
558844698593198091,27,ready <@112230401719681024>
558844722567970828,28,i’m testing my mii character
558844730763509799,14,first time btw
558844739177152532,8,no flame
558844959579439104,26,yea i followed your advice
558844970639949835,16,made a yasuo mii
558845458240241694,13,you make room
558845478792331306,16,i like Australia
558845863770718208,28,hope she made something good
558845923933814786,5,ye np
558845940329611274,20,just ping when ready
558851950376910848,2,ok
558851967401721856,25,just finished online game
558851987056230401,24,i’m just gonna go lucina
558852002981871636,23,cause yasuo feels weird
558852056392269825,64,also i’m gonna play one game cause i gotta get up early tomorrow
558852086318497792,31,<:tsunalice:315824357857558531>
558853276016181248,3,ggs
558853326368931840,69,also idk if it’s my internet but the game felt like it was in slow mo
558853403019837449,31,here let me play one with yasuo
558853417691250689,21,so you can get a feel
558853431662739467,6,:HAhaa
558854879872024595,27,yea i saw a zero clip of it
558854909269639197,15,it kills at 50%
558854929197039616,27,well i’m done for today ggs
558855110399361024,29,yea i felt it too with lucina
558855140543823884,40,since idk mii combos i just spammed lmao
558855178149691422,17,tornado into up b
558855211909906432,16,true yasuo style
558855468819415060,35,katsura i thank you for your advice
558855537714921738,74,yasuo will carry me at my friends tomorrow just like he carried me to plat
558855840896122910,52,yea i noticed <:GWsetmyxPeepoCry:405382963057000458>
558855940254728212,52,it feels weird to move without shield for me idk why
558856037709643811,88,i’m not used to the idea of moving without rolling since i end up getting hit when i run
558856074401153024,30,but you took advantage of that
558856452736024576,32,yea my jumping is pretty bad too
558856523141480449,72,if you saw when i hit you with nado i literally stood still and did up b
