ID,Server,Channel,Content Length,Content
558858056189083648,MINECRAFT,minecraft,12,Hey everyone
558858092230606873,MINECRAFT,minecraft,30,<@338579309205913600> no links
558858172622700544,MINECRAFT,minecraft,8,Yes dude
558858355490422804,MINECRAFT,minecraft,23,But still don't do that
558858413409304594,MINECRAFT,minecraft,23,If u don't want trouble
558860744691679242,MINECRAFT,bot-commands,5,!rank
558860801172176907,MINECRAFT,minecraft,30,hehehe im so close for level 9
558860837289459722,MINECRAFT,minecraft,11,yay me xd 😄
558860865252753409,MINECRAFT,minecraft,5,hello
558860913306763264,MINECRAFT,minecraft,8,whatNL???
558860948094320652,MINECRAFT,minecraft,11,english pls
558860998828752906,MINECRAFT,minecraft,33,<@522647837343875092> java or pe?
558861085919150081,MINECRAFT,minecraft,33,well i have java but can u build?
558861115790983168,MINECRAFT,minecraft,47,gg yayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyaaa
558861141321973772,MINECRAFT,minecraft,4,oops
558861242861879320,MINECRAFT,minecraft,2,gj
558861279360450649,MINECRAFT,minecraft,8,what????
