ID,Server,Channel,Content Length,Content
558865430434021406,MINECRAFT,off-topic,34,Eventually I finally got to buy it
558865487937798144,MINECRAFT,off-topic,12,I was 5000th
558865664149028894,MINECRAFT,off-topic,5,Borgi
558865702493093888,MINECRAFT,off-topic,3,Yay
558865733149392931,MINECRAFT,off-topic,31,<:snowgolem:425375090511970314>
558865972446887936,MINECRAFT,off-topic,31,<:GWgsexFap:408675131502624768>
558866013349871646,MINECRAFT,off-topic,37,<:GWgsexDerpandan:408675126628843530>
558866031410675742,MINECRAFT,off-topic,37,<:GWqlabsThonkery:398950779769061376>
558866093217808385,MINECRAFT,off-topic,31,<:GWjianWut:402867992930680833>
558866149606031360,MINECRAFT,off-topic,30,Some of my reactions dont work
558866160020488193,MINECRAFT,off-topic,37,<:GWjiangoNegaLUL:402866531802939398>
558866564552589322,MINECRAFT,off-topic,7,Awesome
558866954627186700,MINECRAFT,off-topic,28,The earth is a squiggly Line
558867053591658496,MINECRAFT,off-topic,27,How else was minecraft made
558867214602600458,MINECRAFT,off-topic,3,Rip
558867639980785675,MINECRAFT,off-topic,35,I always wanted that game on mobile
558867743579963403,MINECRAFT,off-topic,32,The game for your Mii characters
558867799926243369,MINECRAFT,off-topic,24,Tomodachi life (I think)
558868100833869885,MINECRAFT,off-topic,34,That game was 30$ when it came out
558868154474954753,MINECRAFT,off-topic,39,I was so broke I was playing worldcraft
558868961693794307,MINECRAFT,off-topic,39,<:GWjiangTimeToStop:408280780951912451>
558868976197828609,MINECRAFT,off-topic,9,New enote
558868991846776833,MINECRAFT,off-topic,5,Emote
558869095043432449,MINECRAFT,off-topic,114,<:GWqlabsArmLeft:398950980537942026> <:GWqlabsFeelsKCHHH:403294831893282820> <:GWqlabsArmRight:398950990813855745>
558869371645067304,MINECRAFT,off-topic,4,100%
558869387701125120,MINECRAFT,off-topic,14,Opps caps lock
558869412929732633,MINECRAFT,off-topic,26,Numbers are always in caps
558869437277798437,MINECRAFT,off-topic,34,<:GWunuDrakeNo:387668644500602890>
558869474489663491,MINECRAFT,off-topic,35,<:GWomoDrakeYea:407618577969971210>
558869552419700736,MINECRAFT,off-topic,17,I dont have nitro
558869581675102220,MINECRAFT,off-topic,25,I just love global emotes
