ID,Server,Channel,Content Length,Content
558450197076770816,Official Fortnite,lfg-savetheworld-pve,71,<@!450025470688493598> from your credit card_ stw isnt an instant grind
558450455227793418,Official Fortnite,lfg-savetheworld-pve,3,yep
558451080472690693,Official Fortnite,save-the-world,10,by reading
558451156343455774,Official Fortnite,save-the-world,18,or the description
558451211720720396,Official Fortnite,save-the-world,42,cool_ you might not like it but its needed
558451520056590360,Official Fortnite,save-the-world,27,not really mean_ just truth
558451560267382785,Official Fortnite,stw-questions,3,RNG
558451601371562004,Official Fortnite,stw-questions,29,and only worth what is inside
558451777901559819,Official Fortnite,stw-questions,29,or a weapon you havent gotten
558451801205243915,Official Fortnite,stw-questions,34,worth the survs if they are needed
558451871166234634,Official Fortnite,lfg-savetheworld-pve,4,same
558452176171565077,Official Fortnite,stw-questions,3,yay
558452190205706242,Official Fortnite,stw-questions,10,always yay
558454617068011533,Official Fortnite,lfg-savetheworld-pve,41,<@363722894309589005> invite The_Dead_Man
558454776099110952,Official Fortnite,save-the-world,44,<@!154747550673534976> welcome back "sister"
558455473020338176,Official Fortnite,save-the-world,69,<@!356139182755807234> PSA message_ i do it from time to time for fun
558455532604620842,Official Fortnite,lfg-savetheworld-pve,16,got kaptains one
558455937128595470,Official Fortnite,save-the-world,72,i build with jess sometimes_ and farm the resources i spend at same time
560288379355529226,Official Fortnite,fortnite-general,45,<@!232570891890982912> you would assume wrong
560288467519537162,Official Fortnite,fortnite-general,35,im glad i aint yellowNLteam pink ftw
560640471458643975,Official Fortnite,fortnite-general,26,eula breaches arent a joke
560640515629121594,Official Fortnite,fortnite-general,26,his fn account is worth $0
560640628627603456,Official Fortnite,fortnite-general,15,it does and has
560640709506367502,Official Fortnite,fortnite-general,2,hi
560640895737790464,Official Fortnite,fortnite-general,116,discord isnt selling or trading them_ there are discord groups who illegally try to sell them <@!336861668506075149>
560640978437013534,Official Fortnite,fortnite-general,83,it is illegal and can result in legal action_ do not do it and do not joke about it
560641135811362826,Official Fortnite,fortnite-general,70,discord actively deletes and bans users who perform illegal activities
560641159840661514,Official Fortnite,fortnite-general,4,!lfg
560641580281757696,Official Fortnite,fortnite-general,86,Apex is a completely different game_ to be discussed in a completely different discord
560641826856632330,Official Fortnite,fortnite-general,53,This is a fortntie discord_ not a console war discord
560641992489435178,Official Fortnite,fortnite-general,104,<@560630511559770133> due to switch being made for gaming_ it has better capabilities than mobile phones
560642035267272744,Official Fortnite,fortnite-general,37,this isnt a war to be had here though
560642210299904000,Official Fortnite,fortnite-general,40,Please stop the moibile console war guys
560642346526572546,Official Fortnite,fortnite-general,76,there is one of those somewhere_. if you want to argue about it try google 😃
560642422208725020,Official Fortnite,fortnite-general,42,<@294998718053351424> hmmm_ what did i do?
560642790103580692,Official Fortnite,fortnite-general,127,<@325456619284725761> i miss all the time_ i plan for the bullet to travel the planet and hit them on the second passage around
560643273228812288,Official Fortnite,fortnite-general,69,<@221416809385951232> the earth is slightly flatter than a basketball
560643374953005056,Official Fortnite,fortnite-general,85,<@!434711340498812944> message in normal characters and i assume it wont happen maybe
560643930983497751,Official Fortnite,fortnite-general,84,<@401168248797659136> no one can help_ once you run out of refund tickets that is it
560644229320146955,Official Fortnite,fortnite-general,95,<@481950082963341322> im used to beating the living_ need to beat them into submission for food
560644842359750696,Official Fortnite,fortnite-general,102,<@484392518427869184> you can use other words that arent close to the filter to explain your situation
560644897846198279,Official Fortnite,fortnite-general,55,<@!464672246183493632> not a console/mobile war discord
560645115438432261,Official Fortnite,fortnite-general,150,<@484392518427869184> it is close to another word and will be detected as such_ so please use words similar_ the english language has about 50 of them
560645308447457280,Official Fortnite,fortnite-general,90,<@434711340498812944> use normal characters and google how to because it isnt allowed here
560645409958002700,Official Fortnite,fortnite-general,92,<@434711340498812944> also_ if you change your nickname again it will be an official warning
560645958610714653,Official Fortnite,fortnite-general,8,practice
560646197946089493,Official Fortnite,fortnite-general,4,!lfg
560646347359780894,Official Fortnite,fortnite-general,7,cacawww
560646400640155648,Official Fortnite,fortnite-general,37,<@272051406154891264> cool_ dont spam
560646948655464482,Official Fortnite,fortnite-general,8,!helpers
560648323527213097,Official Fortnite,fortnite-general,4,!lfg
