ID,Server,Channel,Content Length,Content
558472271291744266,/r/Anime Discord!,general,34,<:pepeunamused:514259888843522048>
558473215962513428,/r/Anime Discord!,general,33,<@160661535511937026> be released
558473322996957194,/r/Anime Discord!,general,34,<:pepeunamused:514259888843522048>
558473984572784650,/r/Anime Discord!,general,4,loli
558474036557119498,/r/Anime Discord!,general,3,wtf
558474052549869578,/r/Anime Discord!,general,69,<:pepeunamused:514259888843522048> <:pepeunamused:514259888843522048>
558995961330794497,/r/Anime Discord!,general,34,<:pingunamused:541257696242827274>
558997214928699402,/r/Anime Discord!,general,33,<@!127053582120910849> release me
560624590913667082,/r/Anime Discord!,general,34,<:pepeunamused:514259888843522048>
560991465803743256,/r/Anime Discord!,general,57,<@!127053582120910849> <:pingunamused:541257696242827274>
560991664454238248,/r/Anime Discord!,general,11,release him
560998868280672266,/r/Anime Discord!,general,34,<:pingunamused:541257696242827274>
