ID,Content Length,Content
558470030082441232,17,But theyre pretty
558470113356021791,55,Bedrock has more players_ Java has more community input
558470185229484042,21,<#332967590685310978>
558470251851939840,19,And phones and such
558470386673778689,81,None of that superior stuff here_ it causes to many fights <@!104674953382612992>
558470451546816542,20,Too* sorry bout that
558470494916182018,12,Yeah it does
558470565673959435,23,But not the modable one
558470605343817728,25,Basically not java or PS4
558470728505229313,3,Nah
558470774483189771,27,PS4 is kinda mean like that
558470819756376066,42,They didn’t want crossplay but now they do
558470885451890718,44,So who knows_ but for now it’s not available
558470955341447188,21,<#305834181949390848>
558471023394160642,13,I like it too
558471937429602314,44,<#406487507270631425> <@!281556800828997634>
