ID,Content Length,Content
558830332988620810,5,$help
558830375904870412,7,$help 1
558830531446571010,4,porn
558830558612815872,4,what
558830600736210946,4,lmao
558830665525624863,16,$play funkerlied
558830888201224213,9,wait what
558830913211858959,20,you have the dj role
558831775946637343,57,is there any problem if i put nazi associated songs here?
558831944868298761,58,is there any problem if i put zani? associated songs here?
558832005337579580,26,the other word is censored
558832031094538242,29,so i think there is a problem
558832142143193108,5,za ni
558832180051181578,3,uhm
558832285009444864,6,german
558832313086246913,6,adolph
558832440286642221,68,because the song that is playing right now was used by zani soldiers
558832494519123968,45,but it doesnt have anything wrong in the song
558832873130426378,26,$p in einem polenstädtchen
558837150330912783,9,wait what
558837177614729236,22,why did you remove it?
558837254164840473,16,what do you mean
558837283105669130,9,i like it
558837312876838930,20,its not a meme music
558837621355446318,8,alright.
558837674912382976,69,so you are going to remove it because you THINK you will not like it?
558837733473386528,31,you probably wouldnt_ but still
558837910351118337,24,thats a pretty asshole-y
558838024083865625,4,sure
558838244343676960,30,well you didnt have to do that
558838274811232289,18,but thanks i guess
558839717169332254,24,oh wow the song survived
558839747540287519,34,and didnt get skipped_ yay i guess
