ID,Server,Channel,Content Length,Content
558762297099550725,r/teenagers,serious-personal,106,You know those people who post polls on their insta story asking “does anyone wanna hang out this weekend”
558762692333010956,r/teenagers,serious-personal,125,<@215166909807591425> Yeah but there’s this really nice girl I wouldn’t mind hanging out with but I don’t know her super well
558762742853533707,r/teenagers,serious-personal,48,I’d feel uncomfortable answering anything but no
558763006792695839,r/teenagers,serious-personal,59,<@215166909807591425> Is this a free throw or 3 point shot?
558763071477121044,r/teenagers,serious-personal,44,Am I at the shorter line or the further line
558763168797687848,r/teenagers,serious-personal,32,Line closer to basket=free throw
558763205082480640,r/teenagers,serious-personal,18,Furthest=3 pointer
558763299672686624,r/teenagers,serious-personal,30,Idek how I feel about this tho
558763346229329920,r/teenagers,serious-personal,72,Like to be fair I did try to talk to her twin sister a couple months ago
558763445567356962,r/teenagers,serious-personal,70,And now she’s somehow my number 1 best friend on snap cause of streaks
558763590874693644,r/teenagers,serious-personal,45,The one I’d talk to now is noticeably shorter
558763620780212225,r/teenagers,serious-personal,23,Like 6-7 inches shorter
558763772152381450,r/teenagers,serious-personal,20,I’d just feel guilty
558764224520650753,r/teenagers,serious-personal,25,Talking to the other twin
558764354825224236,r/teenagers,serious-personal,106,But tbh as far as I know I’d just wanna be friends with her_ not try and date her like I did the first one
558764974097563648,r/teenagers,serious-personal,33,Okay lemme put it in full context
558765017739165709,r/teenagers,serious-personal,52,I wanted to date the first twin about 3-4 months ago
558765075985334313,r/teenagers,serious-personal,50,That went horrible as there was no mutual interest
558765181963075604,r/teenagers,serious-personal,79,Now_ 4 months later_ I’m friends with the other twin (the one I didn’t talk to)
558765281007370256,r/teenagers,serious-personal,33,No I wanna be friends with twin 2
558765381561614347,r/teenagers,serious-personal,74,She’s really pretty but it would be...suspect if I went for the other twin
558765443477798919,r/teenagers,serious-personal,21,No twin1 is over with
558765466458521620,r/teenagers,serious-personal,37,We don’t even talk anymore as friends
558765576164474920,r/teenagers,serious-personal,113,I’m saying it would be awkward to be friends with twin2 because twin1 and everyone else would think the wrong way
558765730221522950,r/teenagers,serious-personal,45,Okay let’s just forget about twin1 completely
558765829336858624,r/teenagers,serious-personal,143,Twin2 is really pretty and yeah I would think about dating her but it would be awkward because I tried to do the same thing with the other twin
558765891408494593,r/teenagers,serious-personal,60,So it would look like I’m just hopping from one to the other
