ID,Content Length,Content
558763921696358444,10,Hi friends
558764125056925700,9,Hi Tricia
558764481744732165,20,Aight Noah calm down
560622818107064322,10,Story time
560622859853103114,32,There was a police cordon nearby
560622911791300609,61,They found a dude who had his house stashed with illegal guns
560622943105974275,29,Dude stabbed himself to death
560622965121744906,27,Instead of getting arrested
560626026062020648,4,Ouch
560626630146523156,8,What the
560626685066608670,7,Hi eliz
560626999232823306,13,@discrodmodes
560627034989002799,5,HI LP
560627055449079848,4,Oops
560627104249544704,31,Didnt mean to all caps that one
560627154283397127,28,Now I just look over excited
560627211275862016,3,WHY
560627272856371201,6,Hi bev
