ID,Channel,Content Length,Content
558427488603209740,general,56,<@!476060942082244639> lmao i was just listening to this
558427503807430679,general,17,it's just amazing
558427567846195230,general,7,will do
558427593209151508,general,12,i love zilla
558427609604554756,general,21,as well as cameronazi
558427624456716291,general,19,as well as subjectz
558427825909006337,general,23,heist is a monster lmao
558427860730118154,general,34,man can flow his ass out with bars
558428036001824769,general,64,listen to talk shit or his and zotiyac's remix of oops by yachty
558428051592052758,general,23,you're not gonna regret
558428339312918531,general,4,look
558428349257482251,general,17,you can use nigga
558428357935628308,general,19,just not the hard r
558428457206415363,general,51,skinny fat is uhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
558428515830202379,general,58,thank fuck my genetics i'm built fat instead of skinny fat
558428655098003461,general,14,these mods man
558428663171907605,general,7,fuck em
558428730092158978,general,29,fuck lat and keith especially
558428757275443210,general,11,oh hi keith
558428776401338430,general,19,what's going on man
558428803802726408,general,20,nice to see you here
558428829597827072,general,14,shiiiiiiiiiiit
558428833452261396,general,9,uhhhhhhhh
558428847926935554,general,20,i mean we are homies
558428949655322635,general,10,yes my guy
558429020442722304,general,7,hmmmmmm
558429039904292905,general,20,that's pretty ironic
558429113870712832,general,9,hi tricia
558431834720043038,serious-personal,66,damn i love playing music loud but it looks like i'll have to stop
558431912893349923,serious-personal,47,i can sleep in any condition at any time wassup
558431956388282380,serious-personal,65,i usually have my tv on because i watch sports and shit like that
558431967717359628,serious-personal,21,or cooking shows lmao
558432087686774815,serious-personal,32,fr tho cooking shows are calming
558432115855982613,serious-personal,40,and they make me dream of something good
558432161204666368,serious-personal,65,peep username haha i dream it checks out lmao i wanna kill myself
558432227420274698,serious-personal,18,12 hours of sleep?
558432245195603969,serious-personal,4,damn
558432265018015747,serious-personal,18,i work on 2 easily
558432386094989324,serious-personal,27,i mean let's be honest here
558432397155106819,serious-personal,18,i'm not tryna flex
558432409431965696,serious-personal,23,but i'm actually slavic
558432414595153921,serious-personal,14,sooooooooooooo
558432440524472333,serious-personal,22,i can pretty much work
558432446350360589,serious-personal,9,like that
558432545465958430,serious-personal,63,i've set my sound on 25% because my headphones are loud as fuck
558432630102687764,serious-personal,39,and anything other than 25% is too much
558432661203320848,serious-personal,18,spotify is on 100%
558432711656734721,serious-personal,63,when i plug my speakers i put the windows sound on 100% as well
558432726458564621,serious-personal,19,and if i feel extra
558432742673481757,serious-personal,26,i put the speakers on 100%
558432828703113261,serious-personal,60,and increase the 3 hz sliders for a small amount for the sub
558432891671937046,serious-personal,13,what happened
558432969724002304,serious-personal,15,are you serious
558432993572683826,serious-personal,18,jheeeeeeeeeeeeeeez
558433037151502336,serious-personal,1,f
558433816910364682,serious-personal,13,oooooooooooof
558433824598523915,serious-personal,4,true
558786789423185922,general,4,lads
558786915067756545,general,99,find you some friends that will literally go to your house just to get you to hang around with them
558786932365066271,general,28,i was literally feeling down
558787021271728138,general,83,outta nowhere a friend calls me "yo we're just in front of your building come down"
558787036660891677,general,15,made my day tbh
558787050887839785,general,8,bye eliz
558790600120336421,general,75,shit aight if this girl likes me i'm gonna blow up like a fucking terrorist
558791214023835651,general,104,shit's been going really fine for me since the past few days i don't want life to fuck everything up now
558802033122082816,general,114,https://open.spotify.com/track/25Fb1ryppLjphOsGoq2eRu?si=8ICtnwOvQ6-aYH7lQC6SfA if this ain't a banger idk what is
558818820693950478,general,3,huh
558992348634415124,general,174,dude this girl is so fucking relatable and cute and smol and has just a great personality and we connected thru our depression but damn she just doesn't like me 😦 feelsbadman
558992361661923358,general,14,can i get a nf
558992407199350794,general,5,thank
558992468658356234,general,50,i mean it's pretty obvious from the thing she says
558992604126117940,general,116,but a friend of mine that i really trust a lot has literally read the chat and she says otherwise but she needs time
558992614796558357,general,8,like idk
558992811421335552,general,7,nah man
558992823282696192,general,14,i'd rather not
558992855386030110,general,9,it's like
558992900105568257,general,37,but  she doesn't that's the main ting
558993018569621535,general,63,<@!305623943031685121> fucking relatable but switch the genders
558993119232786435,general,39,yeah but as i said i don't really trust
558993172739522579,general,9,it's like
558993271271981066,general,146,idk she's giving some reallllllllllllllllllllllllllllllllllllllllllllllllllllly mixed signs and i'm sure she's leaning towards the 'fuck off' side
558993318948765696,general,45,there's no such thing as an original rap song
558993332127399977,general,26,it's called old school rap
558993344777420800,general,11,or boom bap
558993452415844363,general,18,i'm afraid of that
558993473567457281,general,27,i blame my anxiety for that
558993954024980483,general,9,yo fr tho
558993973184692244,general,23,ellus always been a lad
558994034551422977,general,36,ever since i first joined the server
558994049630208001,general,21,and he joined as well
558994180089577479,general,54,people have said my voice doesn't match my personality
558994214038405121,general,13,like the fuck
558994224671096832,general,3,how
558994305851588619,general,23,well it's gotten deeper
558994319688859658,general,13,but it's like
558994344195915787,general,22,i'm soft when talking?
558994488874500096,general,108,like when people usually hear me talking it's like they expect me to be angry all the time or mad or violent
558995313751490590,general,19,i mean come on pink
558995348673265664,general,58,i wanna change everything about myself it's just like that
558995421905813523,general,21,i hate myself so much
558995443250626561,general,24,especially my appereance
558995762428772363,general,5,sound
