ID,Channel,Content Length,Content
558796791420682275,builds,0,
558803492827955201,builds,43,<@245163371987468289> its my map and render
558803565771096067,builds,6,thanks
559089791774359574,builds,16,My Dragon Forge!
559089820320661505,builds,0,
559090188249333763,builds,21,<#302219365372264448>
559090213419483147,builds,13,not htis caht
559090684519514146,builds,3,lol
559097445519458314,builds,33,naw just did a render of that one
559097700067311636,builds,3,yup
559097816450859012,builds,0,
559098034877890562,builds,20,that one is my world
559099864361992224,builds,0,
559099925867266091,builds,38,mountain and a little town with a keep
559100163646291993,builds,54,take to render or to make it all <@342758889747644418>
559100266633363457,builds,18,few weeks for most
559100337982799891,builds,22,its a lot of stuff lol
