ID,Server,Channel,Content Length,Content
560600158891540481,Axis Order,bot_channel,7,+points
560600294925402112,Axis Order,general,4,Soon
560600346896891924,Axis Order,general,14,Good night jad
560600377502728192,Axis Order,general,3,5ma
560600428497076225,Axis Order,general,17,I already smashed
560600505504628758,Axis Order,general,26,If you come gamescom maybe
560600664233738242,Axis Order,general,10,Hello caky
560601321170927689,Axis Order,general,12,Thanks Akash
560601343774162956,Axis Order,general,9,Heya iine
560601541493653517,Axis Order,general,21,How are we doing iine
560601734683295754,Axis Order,general,7,Tell me
560601800969945148,Axis Order,general,3,Pls
560601847451353101,Axis Order,general,1,🤔
560601863461011458,Axis Order,general,18,I didn't know that
560601870998175745,Axis Order,general,7,Thankss
560602046018093067,Axis Order,general,8,Ah I see
