ID,Server,Channel,Content Length,Content
560628724177829891,r/teenagers,general,172,GAY      ############################LNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN>>>>>>>>>>>>>>>>>############################$$$$$$$$$MTtttttt    vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvbbb
560629122465005579,r/teenagers,general,14,Look up goatse
560629436676964367,r/teenagers,general,26,Hahahah you've been gnomed
560629631812763649,r/teenagers,general,65,Every time you look at Hotter than the Sun you get gnomed asshole
560639235393323008,r/teenagers,general,53,Zenbguin518(cock gnag*: Time to post some meemayyyyys
560640717924466689,r/teenagers,general-2-electric-boogaloo,48,<:Fkey:375406826109534219> <@264109060943642625>
560647015672053760,r/teenagers,general,39,coccc ccoocccccccoc occokc  co kc cock.
560984347021410307,r/teenagers,general,24,Mention the discord mods
560984479322341388,r/teenagers,general,29,Someone should actually do it
560984929232617477,r/teenagers,general,128,!!!YOU HAVE BEEN VISITED BY THE EAST POLICE. THE ONLY WAY TO GET PAST THIS MESSAGE IS TO POST A PHOTO OF YOURSELF FACING EAST!!!
