ID,Server,Channel,Content Length,Content
558867888040312832,FlareTV - PewDiePie vs T-Series,commands,8,pls rich
558868331810127884,FlareTV - PewDiePie vs T-Series,commands,17,pls withdraw 1000
558868836129177620,FlareTV - PewDiePie vs T-Series,commands,10,join heist
558870163898761226,FlareTV - PewDiePie vs T-Series,commands,17,pls withdraw 1000
558870281322496010,FlareTV - PewDiePie vs T-Series,commands,10,join heist
558870811553824768,FlareTV - PewDiePie vs T-Series,commands,31,pls rob 🇵🇭 JxdeThaddeus 🇸🇬#7152
560287111459110912,FlareTV - PewDiePie vs T-Series,commands,2,Hi
560287259694202911,FlareTV - PewDiePie vs T-Series,commands,21,Pls rob CornBlox#0975
560631315901317151,FlareTV - PewDiePie vs T-Series,commands,8,Pls rich
560631371660263428,FlareTV - PewDiePie vs T-Series,commands,16,Pls withdraw 500
560631395182051339,FlareTV - PewDiePie vs T-Series,commands,15,Pls rob Me#7594
560631618780397579,FlareTV - PewDiePie vs T-Series,commands,21,When did you do that?
560632439311958056,FlareTV - PewDiePie vs T-Series,commands,7,Oh snap
560632502386163713,FlareTV - PewDiePie vs T-Series,commands,16,Pls withdraw 500
