ID,Content Length,Content
558779564785139716,14,Can you add me
558779666484428800,57,What lvl i need to be to get legendary twine peakspockaxe
558779751507034112,1,?
558779827490914305,18,Ok can you help me
558779866481164288,8,Not 245?
558780065836433430,30,<@302921272482856972> not 245?
558780164121690133,42,<@302921272482856972> what are u power lvl
558780252738813954,27,<@302921272482856972>  what
558780352777289729,1,💦
558780402962268170,28,<:vinder:504282002330091530>
558780510638440458,40,<@302921272482856972> add me on fortnite
558780560328359939,29,<@302921272482856972>  pleasd
558780685746438144,51,<@184094475671306242> do you somebody want to trase
558780708479565844,5,Trade
558780758655893526,3,Yes
558781101464748035,17,Who want to trade
558781160478605345,6,Plesse
558781194838474766,21,<#483629575654604800>
558781300840988672,22,I dont have peemisions
558785962856153088,14,Who want trade
558786035002245122,2,No
558786064983130114,4,Here
558786127868461057,5,Idiot
558786156133613608,17,Ur profile cringe
558787794063982602,39,I know whats gonna be after twine peaks
558787847713456138,13,How map calls
558787882991484939,8,And guns
558787994174357515,20,160 guns 6 stat mats
