ID,Content Length,Content
558827523732144165,2,HI
558827572843249674,18,can you rate my pc
558827620347674659,19,i will show you pic
558827683497246741,33,<@!188562242852225024>  your dead
558827737842712577,2,ok
558827847062519810,74,<@!188562242852225024>  what the hell how you get that ...do you wanna die
558828040092647427,63,<@!188562242852225024>  bro dont touch them call animal control
558828093456908329,3,WTF
558828208255139840,3,WTF
558828312869470229,53,Dont touch any of them bro The sting can kill 100 men
558828398252785677,25,I dont even play fortnite
558828487801045002,14,Dont touch bro
558828541735731202,22,Send me pic if you can
558828920204558337,58,<@!188562242852225024>  so how can you call animal control
558829052350300161,71,<@!188562242852225024>  can i send you pic of my pc and can you rate it
558829107148750878,49,<@410506240523894784>  you play march of empires?
558829559219355671,2,10
558829713003511809,4,True
558829777595662338,29,Thats if its the queensland 1
558829948102508577,47,<@!188562242852225024>  what country are you in
558830115606233101,50,He is wearing Leather Gloves <@455823490101149737>
558830289875632137,72,<@455823490101149737>  can i send you a pic of my pc and can you rate it
558830351498346529,41,I will sell it if i get lots of bad rates
558831094191882251,26,<@!188562242852225024>  oh
558831143433142272,33,Australia had the super deadly 1s
558831305874210836,30,Box jellyfish is is Austrailia
