ID,Server,Channel,Content Length,Content
558831099317583873,Official Fortnite,fortnite-general,22,I hate the malice skin
558831201331183616,Official Fortnite,fortnite-general,4,Both
558831648368492613,Official Fortnite,fortnite-general,17,Bot on invis? Woa
558832031237144577,Official Fortnite,fortnite-general,37,Selling accounts is giving them isint
558832446481760260,Official Fortnite,fortnite-general,35,John wick comin' with the wee bucks
558832549141544975,Official Fortnite,fortnite-general,3,LOL
558832944865738782,Official Fortnite,fortnite-general,13,Mobile>switch
558833040672161832,Official Fortnite,fortnite-general,2,15
558833330825723924,Official Fortnite,fortnite-general,15,Use docked mode
558834038853599232,Official Fortnite,fortnite-general,69,Fortnite fortniteNLWhat's the point of building forts u goin nite nite
558834145367818240,Official Fortnite,fortnite-general,58,John wick comin' with the wee bucksNLAsk Mommy for the visa
558834375152762880,Official Fortnite,fortnite-general,39,Ur mum's armpits smell like moisty mire
