ID,Content Length,Content
560626159860318210,16,!p country roads
560626184862302208,3,!np
560626921851846657,25,<@513224680786624513> ily
560629226278092801,12,!p moonlight
560630200489082881,30,😫starlight uh 😫 moonlight uh 😫
560630251906924575,24,Can this song please end
560630280118075394,19,for the love of god
560630350464942080,3,!np
560630436062167040,21,!p Rockefeller street
560630461840228372,4,1273
560630480072998933,15,ROXKEJDBRKZMRTI
560630501145051174,9,pls snipe
560630697732210696,29,<:PepeSad:559918759897202710>
560630784013107211,32,<:milky_blob:525540143780855818>
560630823670513684,25,<:cum:505337476362141716>
560630908097527812,25,this is purely ironic btw
560630940762636288,9,this song
560630960312287262,4,lmao
560631115484758065,127,this song: playsNL14 year old girls: <:cryingCat:559415359178932254> <:SadCat:519226311273611289> <:CattoCry:519229260372901913>
560631152046637058,3,wtf
560631177137094656,11,I got muted
560631318086680606,99,this song: *exists*NL14 year old girls: <:cryingCat:559415359178932254> <:SadCat:519226311273611289>
560631422889623553,2,!s
560631540220952586,5,lmfao
560634720858144779,27,!p Canadian national anthem
