ID,Server,Channel,Content Length, Content
558115829195997218,MINECRAFT,minecraft,37,The new textures look alot better imo
558470169882787842,MINECRAFT,minecraft,43,<@493151030033383455> <#332967590685310978>
558470285658161192,MINECRAFT,minecraft,93,and because it's superior to Vanilla Java and will soon ahve full built in modding support ;3
558470364770861058,MINECRAFT,minecraft,17,Bedrock does_ yes
558470607243575331,MINECRAFT,minecraft,89,<@329398230649405440> wrong. There's the "Developer Art" resource pack available for free
558471384938971136,MINECRAFT,minecraft,82,<@345293769408512000> I saw some people with the developer art pck in bedrovck tho
558471858878414871,MINECRAFT,minecraft,35,<@345293769408512000> Alrighty then
558757916996534283,MINECRAFT,technical-bedrock,78,<@298966770382012427> download the template pack from the Minecraft addon oage
558758037905473537,MINECRAFT,technical-bedrock,39,https://www.minecraft.net/en-us/addons/
558781333594439680,MINECRAFT,technical-bedrock,73,<@247163748270211072> considering that's how hd resource packs work. Yes.
