ID,Content Length,Content
558758040136974336,29,Read pinned messages here....
558758106704773122,30,Point 2 of dave pinned comment
558785874343755796,13,!tradechannel
558786029050527746,108,U just saw everyone else their message and thought 'ha idiots i will not use that format cos im above y'all'
558807061379678268,20,Its an ability tho..
558808032751124491,45,Just FYI pickaxe is considered a melee weapon
558808158957469723,14,Its an ability
558808534775758850,17,Its a melee weapo
558808610021441556,78,If u ever get the melee daily go to stonewood and just use pickaxe. You'll see
558808747309400094,85,Also a reason why it kinda makes sense keen eyes will disappear when u switch weapons
558808796986605568,25,Its in the spring map yes
558808848044130315,52,If you built it a lever will appear under the basket
558808891396456468,38,Just dont get stuck in it if u solo...
559023079456636928,90,Just not everyone likes it. I max perked it and tried for a while but not using it anymore
559026889809985576,26,Encampments/radar/sc/survs
559057390885142555,2,No
560645128939634689,17,Its a weekly item
