ID,Server,Channel,Content Length,Content
558761028062543911,Official Fortnite,fortnite-general,34,VECTOR?!?! Give me the Shrink Ray!
558761243071086602,Official Fortnite,fortnite-general,33,*Pulls our freeze ray* FREEZE RAY
558761453620822016,Official Fortnite,fortnite-general,42,Vector you will never get away with this!!
558761542544392226,Official Fortnite,fortnite-general,10,FREEZE RAY
558761635645358100,Official Fortnite,fortnite-general,34,psshhhhh *the freeze ray shooting*
558761842172887043,Official Fortnite,fortnite-general,29,Dr. NEFARIO Get the FART GUNS
558761955700113408,Official Fortnite,fortnite-general,35,why are you wearing pajamas Vector?
558762070535831552,Official Fortnite,fortnite-general,10,FREEZE RAY
558762189356400641,Official Fortnite,fortnite-general,18,*suspencful* no...
558762297187893269,Official Fortnite,fortnite-general,24,KEVIN_ BOB GET THE GIRLS
558762571356831755,Official Fortnite,fortnite-general,22,DR NEFARIO GO GET KYLE
558762702160396318,Official Fortnite,fortnite-general,41,*Gets into airship and flys after Vector*
558762866833096734,Official Fortnite,fortnite-general,41,*Sneaks up behind Vector and steals moon*
558763004380839946,Official Fortnite,fortnite-general,27,*Moon begins to grow again*
558763157754085446,Official Fortnite,fortnite-general,28,*Girls are scarred for life*
558763361077166104,Official Fortnite,fortnite-general,30,*Beats the hell out of Vector*
558763491465494528,Official Fortnite,fortnite-general,22,hey hey hey FREEZE RAY
558763602786648084,Official Fortnite,fortnite-general,22,Gru then became nigger
