ID,Server,Channel,Content Length,Content
558760568979456010,r/teenagers,karaoke,29,!play the lion sleeps tonight
558760991719161856,r/teenagers,karaoke,29,!play the lion sleeps tonight
558761425649139714,r/teenagers,karaoke,24,!play hakuna matat norsk
558762134410887207,r/teenagers,karaoke,21,!play nødnummersangen
558762827599314974,r/teenagers,karaoke,5,!skip
558763176469200916,r/teenagers,karaoke,5,!skip
558763334703382528,r/teenagers,karaoke,5,!skip
558763634948440067,r/teenagers,karaoke,5,!skip
558763866595655683,r/teenagers,karaoke,5,!skip
558764262093225986,r/teenagers,karaoke,5,!skip
558764301352173569,r/teenagers,karaoke,5,!skip
558764409581731847,r/teenagers,karaoke,24,!play horses in the back
558764457736667136,r/teenagers,karaoke,5,!skip
558764766185783311,r/teenagers,karaoke,5,!skip
558764878417100813,r/teenagers,karaoke,5,!skip
558765023279841290,r/teenagers,karaoke,1,f
558765064467775499,r/teenagers,karaoke,3,OwO
558765107706986496,r/teenagers,karaoke,3,dwb
558765397369815075,r/teenagers,karaoke,5,!skip
558765456320626879,r/teenagers,karaoke,16,!play sucko mode
558765491968016386,r/teenagers,karaoke,16,!play dicko mode
558765577619898439,r/teenagers,karaoke,41,!play post malone g wagon g wagon g wagon
558765628962504718,r/teenagers,karaoke,5,!skip
558765666082095124,r/teenagers,karaoke,5,!skip
558765680128950272,r/teenagers,karaoke,5,!skip
558765706120790030,r/teenagers,karaoke,5,!skip
558765736181628969,r/teenagers,karaoke,5,!skip
558765809644732460,r/teenagers,karaoke,5,!skip
558801494422454282,r/teenagers,voice,10,dishwasher
558801521068867605,r/teenagers,voice,10,dishwasher
558803551904858112,r/teenagers,voice,10,dishwasher
