ID,Server,Channel,Content Length,Content
558766194832965643,FlareTV - PewDiePie vs T-Series,music,9,!p dilbar
558766224381575168,FlareTV - PewDiePie vs T-Series,music,13,!p aankh mare
558766383035580436,FlareTV - PewDiePie vs T-Series,music,26,!p captain marvel fired up
558767331757785089,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,19,go india go tseries
558767358869635085,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,9,pewgaypie
558767780753571841,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,54,https://tenor.com/view/sanjay-pk-bollywood-gif-7997691
558767906163261443,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,2,pk
558768791807328271,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,107,https://tenor.com/view/ranbir-maths-tamasha-studies-exam-fever-ranbir-ranbir-kapoor-bunny-yjhd-gif-13590114
558771988966014991,FlareTV - PewDiePie vs T-Series,music,15,!p garje gajraj
559003799063363584,FlareTV - PewDiePie vs T-Series,music,31,!p https://youtu.be/nBscgqkKgFA
559003913559343126,FlareTV - PewDiePie vs T-Series,general,25,Where do we get milk from
559004025463242763,FlareTV - PewDiePie vs T-Series,music,9,@everyone
559004229285445632,FlareTV - PewDiePie vs T-Series,general,29,<@422761375270699009> Rhodey?
