ID,Content Length,Content
558441845651275778,28,who has 100% bracket so far?
558442986128670732,8,oof czar
558442994248712202,28,<:TopKek:408369858569437184>
558443134460100609,7,msu tho
558443144002404394,32,<a:aFeelsJAM:527618803321012225>
558443222595010561,38,we were watching the games during work
558443263195873280,20,not a productive day
558443457354530826,61,my co-worker who went to msu has them winning the whole thing
558443463293796357,31,<:PepeHands:472690244483809317>
558443722388537365,25,Louisville losing is good
558443849899573260,38,im not a state fan so i expect no less
558855340133974036,15,hello_ new here
558856042436493315,5,hello
558858418664767537,59,<@!207982079617531904> ily jafuuuuuuuuuuuuuuuuuuuuuuuuuuuun
558858428148219914,29,<:AkkoHug:472690243523313674>
558863583803604993,56,<@182974877479731201> <:TsukihiSmile:342891495919058944>
558863734119071781,27,have u finished rakugo yet?
558863753509208066,38,<:GWsocksAngeryBob:405045028981833734>
558864829738254336,20,so thats a no legend
558864838139576341,31,<:AkkoAngry:518173864467890181>
558864855184965632,14,you're slackin
558864866392277007,12,mornin salty
558866238462230549,31,<:peepopeek:415656047726952461>
558866408541257738,31,<:peepolove:515193560140742656>
558867730174836736,10,Rocks good
558867738349797377,31,<:AkkoAngry:518173864467890181>
558867768578015243,5,Burnz
558867774257233920,34,<:pepeUnamused:526604637667852326>
558867863608360970,8,Jets fan
558867871602835478,35,<:FeelsNastyMan:408369856254050324>
558868185735233553,13,Bucs fan.....
558868192550977554,29,<:nonMegu:524756536262918155>
558868347043708939,33,Atleast bucs are better than jets
558868357084872735,28,<:shrugs:480098208673169408>
559010058453647385,10,Hisui good
559010831510274048,24,<@344590202926530573> yo
559011685399265315,42,doin fine man <:mmmYea:538821121303379990>
559011705930252289,43,just busy <:notlikethis:480797722345996291>
559011771709390850,58,anime about food girls <:spongGarThonk:520255884354519040>
559011787543150632,28,like they are literally food
