ID,Content Length,Content
558472845877837824,5,Hiiii
558829585530093571,2,Oi
558829735522598913,11,I like bugs
558829863847460865,10,It’s a cat
559070307089121300,22,I want chicken nuggets
559070443575836672,20,Boil the pizza first
559070601080471562,4,Rawr
559070891166793728,9,Of course
559071080728494124,22,I love roasted chicken
559071178010918989,7,Oh shit
559071210814570506,4,Good
559072595501383700,14,You seem happy
559074366961352714,24,You know what that means
559077671204814848,20,I only have one week
559077680973086752,11,I’m annoyed
559077769250865154,12,That’s tough
559077904538009601,30,First graders need their sleep
559077944115462166,40,Because of all the hard work they put in
