ID,Server,Channel,Content Length,Content
558813215409176577,Official Fortnite,battleroyale-images,1,^
558818259974225941,Official Fortnite,clan-recruiting,112,**Creating a new clan**NLNeed 200+ winsNLMust have boolies in name [BOL]NLMust be able to build 90_s in 0.2 seconds
558818669984088085,Official Fortnite,fortnite-general,2,to
558818761906454528,Official Fortnite,fortnite-general,2,to
558818864226369541,Official Fortnite,fortnite-general,2,to
558818981662818305,Official Fortnite,fortnite-general,4,!lfg
558819195484110853,Official Fortnite,fortnite-general,24,to <@139494383878799361>
558819471805120512,Official Fortnite,fortnite-general,24,to <@207315320313085952>
558819594546970644,Official Fortnite,fortnite-general,24,to <@207315320313085952>
558819814697598986,Official Fortnite,fortnite-general,24,to <@182166841689374720>
558819970931228674,Official Fortnite,fortnite-general,24,to <@175743068652306433>
