ID,Content Length,Content
558456672729694214,10,Pls search
558456696142561291,7,Pls beg
558456778271096849,4,!inv
558456797841850438,7,Pls inv
558456821845721088,8,Pls shop
558456850585092097,10,Pls shop 2
558456888501600256,10,Pls shop 3
558456915911376916,10,Pls shop 4
558756996384292910,7,Pls bal
558757042903580674,8,Pls rich
558757166090158090,33,Pls profile <@380091950654554113>
558757265864130569,59,<@!522577471145508864> He has a padlock_ I recommend not to
558757443375595533,8,Pls rich
558757492029521921,15,Pls deposit max
558757522673106955,15,Ima try that to
558757544118583338,29,Pls rob <@516446658943385612>
558757568907051018,3,Nvm
558757784779489314,8,Pls rich
558757796347379733,7,Pls bal
558757989335695370,45,Pls profile <@515418512311844874>. Jerry#1606
558758159187968010,16,Idk how it works
558758201638780979,8,Pls rich
558758350909603862,33,Pls profile <@542810418029264897>
558758419910098951,29,Pls rob <@542810418029264897>
558758510649671700,31,<@380091950654554113> I’ll stop
558758601531850763,15,Pls buy padlock
558758622591582248,15,Pls use padlock
558758671656681507,16,Pls withdraw all
558758728669855764,3,Yup
558758748508651528,8,Pls rich
558758845942333447,15,Pls deposit max
558758868696563712,8,Pls rich
558759245244530717,36,Pls rob @ Dank Chicken de Rappa#3269
558759284566130698,3,Oof
558759310327545866,20,I fixing co anything
558759337971941410,20,I didn’t do anything
558759460927963139,7,Pls rob
558759544184897538,7,Pls rob
558759685864292352,7,Pls rob
558759770396426241,29,Pls rob <@380091950654554113>
558759816038711418,1,F
558759967038111794,29,Pls rob <@380091950654554113>
558760036491591700,3,Oof
558760080456024064,8,Pls rich
558760141181419540,41,<@468697824276512799> he left the server?
558760204121014272,7,Oh snap
558760249658572830,43,If he joins again can he get his money back
558760378016858122,7,Pls bal
558760412410019841,3,Lol
558760756863041537,8,Pls rich
558760904498610195,36,Pls bal <@515418512311844874>. Jerry
558761154898427904,11,I like that
558761187676782623,33,Pls deepfry <@468697824276512799>
558761275002454024,12,Pls postmeme
558761302655369217,1,D
558761443336519702,9,Pls adopt
558761473753612321,15,Pls deposit max
558761602460155904,9,Pls guess
558761623377150025,1,7
558761648387653632,4,Hint
558761743761932300,7,Pls beg
558761754730168370,10,Pls search
558761766620758027,8,Pls rich
558761774862565417,8,Pls rich
558766369739374623,7,Pls beg
558766387674218517,10,Pls search
558766406749913112,7,Pls bal
558766437272125441,8,Pls rich
558766647821729792,30,Pls bal <@!511259086935818268>
558766681821020220,30,Pls rob <@!511259086935818268>
558766714775404576,30,Pls rob <@!511259086935818268>
558766735738535970,7,Pls bal
558767201864384512,7,Pls rob
558767234626093056,12,Pls postmeme
558767245749125155,1,E
558767430906806316,14,Pls help image
558767469850918912,29,Pls boo <@270904126974590976>
558767534594326548,53,Pls boo <@270904126974590976> _ <@516446658943385612>
558767739422900254,7,Pls rob
558768318886969387,7,Pls rob
558768349929275437,30,Pls rob <@!511259086935818268>
558768365146210326,4,NOOO
558768380728049674,7,Pls bal
558768620046516244,7,Pls rob
558771170686795818,7,Pls bal
558771344658137088,7,Pls beg
558771371883364352,10,Pls search
558771390426382336,7,Pls bal
558771415344742400,8,Pls rich
558771546290913282,30,Pls rob <@!511259086935818268>
558771689748430869,7,Pls bal
558771720807251968,15,Pls deposit max
558771763354533902,12,Pls postmeme
558771781083725866,1,E
558771947991728130,5,!rank
558772008385642496,5,!rank
558772571466891265,5,!rank
558772687221161984,11,Pls profile
558779922517327872,7,Pls beg
558779944264794113,10,Pls search
558780208199499786,8,Pls rich
558780233042362378,7,Pls bal
558780259554689024,13,Pls slots 100
558780284334637056,12,Pls slots 50
558780302173011988,12,Pls slots 50
558780338076123210,13,Pls slots 100
558783640415502347,12,Pls slots 50
558783658090037276,13,Pls slots 100
558783686988791828,13,Pls slots 100
558783755922178058,25,<@556251957162016799> WOW
558783799798792211,29,Pls bal <@556251957162016799>
558783870137270273,13,Pls slots 500
558783887212544020,12,Pls slots 20
558783901879762950,12,Pls slots 20
558783964538470404,29,Pls bal <@556251957162016799>
558784023388749844,8,Wow nice
558784037582405662,8,Pls rich
