ID,Channel,Content Length,Content
558433915275182091,off-topic,9,dead chat
558470152669102081,off-topic,2,kk
558796148639531009,off-topic,48,I mean this is. the best generation to. be alive
558796223713247253,off-topic,20,get off the Internet
558797748141555713,off-topic,42,?role5ever  <@264768008948285441> creepers
558820976700293120,off-topic,2,no
558821204589543434,off-topic,37,?mute  <@541753787207909408> 1h_ spam
558824654396063745,off-topic,30,<:Thonkeng:359606480187424788>
558825310821548043,off-topic,14,that was a bot
558825377955446804,off-topic,28,he said pepe poopoo 20 times
558836200107016193,off-topic,9,super sad
558837538253570058,off-topic,11,radd vc uwu
559002500368302083,minecraft,15,?t minecraftded
559002669457342475,minecraft,21,<#302219365372264448>
559002698071015424,minecraft,31,?mute  <@449904234394157066> 1h
559006457123569674,off-topic,21,<@254887002686750720>
559006487478009887,off-topic,2,kk
559007349591900181,off-topic,26,?ban <@557265069612728379>
559010320975134728,off-topic,33,?ban  <@451514510252048395> troll
559010446363983906,minecraft,29,caboose is not Minecraft reee
559010576244801547,minecraft,3,nah
559010660361568265,minecraft,42,no pewdiepie <a:BoiGif:422358767724658688>
559010877332783120,off-topic,35,marshmallow doesn't even make songs
559010906839842827,off-topic,20,he just remixes them
559032346104561666,minecraft,48,do u think Minecraft will. come to Google stadia
559032437024358426,minecraft,9,Google it
559033450645159937,minecraft,28,https://youtu.be/4SOS-a4ks7s
559033460644249602,minecraft,4,here
559034702791704587,minecraft,43,<@532320389200609280> did u watch the video
559034710685253647,minecraft,3,smh
559034845104177154,minecraft,27,?ban  <@559026917999902762>
559034930798002186,minecraft,25,dms <@532320389200609280>
559035479685726228,off-topic,6,stop 🛑
559038299814232088,off-topic,21,modern music is trash
559038355455868939,off-topic,37,don't even play their own instruments
559038398476713984,off-topic,16,and autotuned tf
559038508228935691,off-topic,23,I don't listen to music
