ID,Content Length,Content
558457362822856714,16,The giver series
558457518951628839,59,It's awesome how the last book ties the other ones together
558457747612368924,11,1984 is lit
558457856400162836,40,Malreport rectify bb 1984 doubleplusgood
558457956144775205,5,Yoooo
558458027746000896,21,Septimus was the shit
558846388935327765,51,Well since nobody is talking i might as well go off
558846408971517982,6,oh nvm
558846420619231265,5,go on
558846470921519104,24,i mean go off as in rant
558846667219140629,17,you wanna talk or
558846679437017108,9,¯\_(ツ)_/¯
558846880268812298,2,ok
558846886728171540,6,ill go
558846945272135680,8,... sigh
558846979698851860,40,i just dont have the motivation to exist
558846991967191060,14,let alone rant
558847008585154580,19,but i might as well
558847099182252034,50,Lets start with a quick review of the story so far
558847440636346369,101,Ok so_ the subject of this 'rant' is the same person that ~~all~~ all but one of them have been about
558847490816737300,20,Lets give her a name
558847514221084694,18,not a real one obv
558847566196768799,19,its just gonna be S
558847619204382720,2,Ok
558847769637289995,101,So_ as stated in the last episode of this series_ our school was doing field trips alllllll this week
558847805813424149,28,Today was the final day_ yay
558847839871041536,13,-i guess yay?
558847844304420884,3,idk
558847854861352972,9,¯\_(ツ)_/¯
558847988504723456,106,Anyways_ i had to miss 2 of those days due to.. reasons i will not say here cause i dont wanna doxx myself
558848103067680770,60,lets just say i had performances that i had to play viola at
558848135607091208,20,and leave it at that
558848219703148564,40,anyways this isnt important to the story
558848300384518146,41,How about just a theme of the story first
558848487098417152,60,My 0/infinity stats on getting into a relationship lmao /dab
558848766334074880,126,anyways_ on the first day of the trip that i was actually... there_ me_ S_ and 4 others were all at a table together for lunch
558848801633337365,34,Some of these others are important
558848828279881736,8,1 is not
558848858852163645,32,Lets give these others names too
558849018675855360,54,1. meNL2. S {same one}NL3. MNL4. RNL5. ENL6. doesn't matter
558849119138086922,2,Ok
558849533032005642,153,During lunch_ S said that she had a boyfriend now_ im not sure what it was in response to_ i wasn't a part of that convo at the time cause i was.. eating
558849630914215937,71,S is the person that i've... had feelings for_ for all this year so far
558849694714036224,51,And just out of the blue thats what comes up ...yay
558849710127841282,7,Anyways
558849850821574657,88,I would have just forgotten that and moved on had it not been for this series of events:
558849919151112194,22,oh shoot i need a name
558849937249402882,14,how about anon
558850632254226432,59,oh i remember how it went now i have the convo in my headdd
558851695409364995,512,E: Im slowly taking away everything anon loves [this is a person who seems to hate me for some reason]NLS: i have a boyfriend now so...NLR: aww poor anon_ still aloneNL... some other stuff i cant rememberNLThen later on_ one of the people at the place we went to for the trip was like:NL"we have a program where we do [redacted] [and one of the things was basically this: "how to pick up girls"]"NLAt which point R says: "haha anon you need that"NLentire table: laughsNLSo that was ... bruh momentNLpart 1 of... 2 i think
558851726866776069,27,So that was the first convo
558851748035297283,20,hard to follow sorry
558852265663004672,203,Anyways today_ we were in a gift shop of the place we went toNLAnd there was a book_ something along the lines of "the geek guide to dating" and yet again_ R said something like: "found the book for anon"
558852316875325440,39,like just why do yall have to rub it in
558852476510535690,85,i get it she doesn't see me as someone to date ok fine i gave up that hope months ago
558852545292926977,52,Yo are we both ranting on completely seperate trains
558852567510286339,5,[yes]
558852689446961163,8,its fine
559090659500228610,31,<@261820752620158976> same bruh
559090730509926408,18,Yah that's not hot
560653250039250964,15,rainbow glitter
560653387922669579,68,but like dont get the glitter everywhere cause thats a pain to clean
560653415206879256,9,¯\_(ツ)_/¯
560653436022947840,1,^
