ID,Channel,Content Length,Content
558456557533396994,general,17,When u do ex math
558456588013404160,general,21,<@457029487603875881>
558457073763876885,general,33,<@339189311734022144> welcome ^-^
558457684475641878,general,0,
558457737063694376,general,30,Yes I'm charging my phone stfu
558457844857438208,general,3,Lol
558457899379327012,general,25,<@518924074198761482> hey
558457932468060175,general,0,
558457939791314944,general,3,OOf
558457989514788865,general,37,<@383681993508126722> charge ur phone
558458108523839495,general,14,I'm on mOblile
558458217047261186,general,3,55%
558458359695802378,general,33,<@556919402306732032> welcome ^-^
558458398656430092,general,54,<:kana:553637816136105985> <:jesus:556100529307254784>
558458413131104256,general,14,@kei vo#661 np
558458430856364032,general,3,Lol
558857935195996160,general,3,Sup
558857949213229056,general,8,Back lol
558858030674870294,general,26,Had to clean the house ;-;
558859116286836746,general,30,<:DeadChat:524896170787733514>
558859123853230080,general,3,Lol
558859268707844132,general,0,
558859273296281623,general,3,Lol
558859424077447209,general,29,<@416068742481575937> y u mad
