ID,Content Length,Content
559038781588766721,32,Another one of your basic isekai
559038881815855115,22,Emilia is still better
559038950400983070,4,Yesh
559039355218296842,26,I came long after the hype
559039369621798912,30,But enjoyed the shit out of it
559039476215709717,33,Still surprising we're getting S2
559039661599621130,13,Oh right Relo
559039676309045249,13,*Subaru dies*
559039784480145427,1,👌
559040001866727454,4,Hmm.
559040012209881154,15,Not all of them
559040254406033459,32,That's the pick of popular anime
559040331279237130,36,There's always the less popular ones
559041046290366464,30,Shield hero is a banger indeed
559045239759962123,9,Well yeah
559045257917104139,29,All gamers would be like that
559054239566135326,18,*Yes hi that's me*
559054260306968586,26,Emilia is indeed best girl
559054296272863233,3,Don
559054364594012175,4,PLUS
559054381539131430,28,SUBARU ACTUALLY LOVES EMILIA
559056806811533322,4,Fair
559056825673187348,35,And yeah Relo_ that's all he can do
559057119182323725,4,nope
559057538922840096,10,Well_ yeah
559057548158959616,19,But atleast for now
559110419550175232,40,Looks like Klein is always behind Kirito
