ID,Server,Channel,Content Length, Content
558115027794657291,SAO: Memory Defrag,global-md,30,<:EugeoYay:521832734159798292>
558802168749096992,SAO: Memory Defrag,global-md,44,<@135825657073500160> Eldrie_ 1 dagger char.
558802586631798804,SAO: Memory Defrag,global-md,24,<:XD:315823255128637441>
558803059325796373,SAO: Memory Defrag,global-md,42,Mines at 650.  <:Kappa:315824076012912642>
558803508086964229,SAO: Memory Defrag,global-md,109,There'll prob be guaranteed wep banners or wep exchange somewhere down the line.  <:Kappa:315824076012912642>
558805020452323348,SAO: Memory Defrag,global-md,110,I haven't even touched wep banners since 6* came out except for the Xmas one.  <:AliceSmug:499408164177838091>
558805120360644608,SAO: Memory Defrag,global-md,6,Do it.
558806065240604692,SAO: Memory Defrag,global-md,51,Pito no_ Elsa yes.  <:AliceSmug:499408164177838091>
558806336956006410,SAO: Memory Defrag,global-md,66,Alice irl same as ingame anyways.  <:AliceSmug:499408164177838091>
558806673372741672,SAO: Memory Defrag,global-md,86,<:ArgoHappy:315823817182412800> <--- LN spoilers btw.  <:AliceSmug:499408164177838091>
558809198058668043,SAO: Memory Defrag,global-md,71,Should've spoiled the most recent vol.  <:AliceSmug:499408164177838091>
558809332247035954,SAO: Memory Defrag,global-md,69,A certain someone appears at the end.  <:ArgoSmug:315823819786813440>
558809555492929537,SAO: Memory Defrag,global-md,28,<:nomnom:315824121743278081>
558812794368294912,SAO: Memory Defrag,global-md,73,They were all pretty equal ranking wise.  <:LeafaNani:362791390024957952>
558815026790662155,SAO: Memory Defrag,global-md,57,Isn't her head kinda ... big?  <:gasp:312034920803467266>
558817326519287840,SAO: Memory Defrag,global-md,35,Sakura.  <:gasp:312034920803467266>
558817566076698635,SAO: Memory Defrag,global-md,79,My 1st only at 20s_ Iced still lurking in bracket.  <:Kappa:315824076012912642>
558843698817794071,SAO: Memory Defrag,global-md,23,Mines underpowered too.
558843711681724427,SAO: Memory Defrag,global-md,31,<:AliceSmug:499408164177838091>
558843970428338185,SAO: Memory Defrag,global-md,58,Download the 2017 version of the game when 6* don't exist.
558843981228802049,SAO: Memory Defrag,global-md,27,<:Kappa:315824076012912642>
558844270619131912,SAO: Memory Defrag,global-md,38,Imagine not even breaking 20s with 6*.
558844282622967818,SAO: Memory Defrag,global-md,31,<:AliceSmug:499408164177838091>
558844641399668742,SAO: Memory Defrag,global-md,27,<:bored:312034782152491010>
558844967859126272,SAO: Memory Defrag,global-md,31,<:LeafaNani:362791390024957952>
558845030907904010,SAO: Memory Defrag,global-md,22,That's the same thing.
558845068925206558,SAO: Memory Defrag,global-md,41,He just changed the order of the wording.
558845306918273064,SAO: Memory Defrag,global-md,28,<:hirain:315823958790242305>
560639865897877531,SAO: Memory Defrag,global-md,73,Or you could post in <#351501795895541760> .  <:Kappa:315824076012912642>
560976946972852244,SAO: Memory Defrag,global-md,39,Party Crashers was the dumbest ranking.
560976999901036559,SAO: Memory Defrag,global-md,29,Whole leaderboard was 9s/10s.
560977022789091373,SAO: Memory Defrag,global-md,25,<:kms:315824079506505728>
