ID,Server,Channel,Content Length,Content
558755269274894346,Discord of a Wimpy Kid,colonization,57,Alright ima go fellas_ got important matters to attend to
558755272664023060,Discord of a Wimpy Kid,colonization,3,bye
559053723805155328,Discord of a Wimpy Kid,colonization,46,This is so sad_ can I get a different timezone
559065570218082322,Discord of a Wimpy Kid,colonization,30,so we finna rp some day or not
559065726858821632,Discord of a Wimpy Kid,colonization,3,yes
559065733619777566,Discord of a Wimpy Kid,colonization,1,?
559077608692908064,Discord of a Wimpy Kid,colonization,43,<@!183377229097598977> IS THE SHEET UPDATED
559094395459338262,Discord of a Wimpy Kid,colonization,25,Did I sumbit mine or nah?
559097635315777546,Discord of a Wimpy Kid,colonization,12,I have death
559098464357580832,Discord of a Wimpy Kid,colonization,82,<@!183377229097598977> If I haven't mentioned it yet slap 10 points into expansion
559106130484133889,Discord of a Wimpy Kid,colonization,12,Am not screw
