ID,Content Length,Content
558797801107095552,27,What the fuck is happening?
558798406563266582,17,When we starting?
558798605968867328,33,Who the fuck is raping the VC????
558800926152851507,9,OH GOD NO
558800962425454592,9,R E E E E
558800998462914611,23,***R   E   E   E   E***
558801150753636352,31,The stream got fucking murdered
558801202406490123,11,I BLAME NSA
558801228478283806,13,DOWN WITH NSA
558801700429889547,24,Movie night is cancelled
558801900452053000,17,Pizza Hut is nice
558801970186682389,21,The link is dead boys
558802165276213279,76,***T   H   E         L   I   N   K         I   S         D   E   A   D   ***
558802317562871810,26,***P   A   N   I   C   ***
558802390296297486,26,***P   A   N   I   C   ***
558802427860484116,7,***F***
558802687739559937,112,***W   H   Y         I   S   N   T         T   H   E         R   O   O   M         W   O   R   K   I   N   G?***
558802882418311175,42,***S   E   N   D         H   E   L   P ***
558803146441490436,138,***D   I   D         Y   O   U          K   N   O   W         T   H  E         R   O   O   M         W   A   S         D   O   W   N   ***
558803256122277906,30,W H E R E S   T H E   L I N K?
558803438130036736,115,***L         I         N         K                           B         R         O         K         E         N***
558803785128869889,19,***S   T   O   P***
558803839357157376,17,S    T    O     P
558804133071552532,73,stopNLSTOPNLS T O PNL*S T O P*NL**S T O P**NL***S T O P***NL***S   T   O   P***
558804390954401802,16,F gang represent
558804565961474049,72,MODS! WE THE F GANG ARE BEGINING A FORCEFUL REGIME CHANGE OF THIS SERVER
558804620651266051,6,We are
558804649755541532,14,This is a riot
558804740796973066,78,F gang is overthrowing the oligarchy of this server and establishing communism
558804752658333697,13,Mods must die
558804808061026336,25,F gang will kill all mods
558804829330210847,1,F
558804859399176219,1,F
558804966756581406,40,Andrew surrender your soul to the F gang
558804984691425281,6,Or die
558804996150525972,1,F
558805010125946880,5,**F**
558805039569960971,1,F
558805080527339531,1,F
558805210231734292,82,This is the F revolution. The mods may surrender or have their power tken by force
558805226077814804,1,F
558805229848756254,1,F
558805233321639954,1,F
558805239944314891,1,F
558805246101422080,1,F
558805253651169280,1,F
558805260282363905,1,F
558805264619536396,1,F
558805271904911360,1,F
558805277613490180,1,F
558805284894670869,1,F
558805289420455947,1,F
558805293341999104,1,F
558805297897013258,1,F
558805327785623552,1,F
558805331225083954,1,F
558805334999695380,1,F
558805337969393665,1,F
558805342205640725,1,F
558805356701024274,1,F
558805367665197056,1,F
558805373633560597,1,F
558805383532249100,1,F
558805395649331221,1,F
558805404050522142,1,F
558805413680644096,1,F
558805422895661069,1,F
558805431825334274,1,F
558805477308366856,32,***THIS IS A RAID OF TEENSERV***
558805485625802753,1,F
558805496119951375,1,F
558805505389363210,1,F
558805645328121877,1,f
