ID,Channel,Content Length,Content
558446455262543903,lfg-battleroyale-pc,65,looking for duo partner for gaunlet required 450+ wins and nae pc
560620830535450664,fortnite-general,31,L in chat if fortnite fucked up
560620989596303382,fortnite-general,26,but yall still playing lol
560621229590052874,fortnite-general,29,Fortnite add skin trading !!!
560621550806499329,fortnite-general,181,<@503391877459083274>  im saying they should if they want to make the community happy and prevent more people from buying accounts. They can also profit by adding vbuck trading fees
560623746478768148,fortnite-general,194,This kid <@!299180221389602818> is sayings its illegal to sell accounts LMAO its against terms of service but not illegal. Hes saying basically you can go to jail for selling a fortnite account.
560623816028586004,fortnite-general,22,aerial assault trooper
560624003450929162,fortnite-general,53,<@531286916574871554>  but it came with a doper style
560624095776079872,fortnite-general,55,Im not playing fortnite anyways till the revert happens
560624278475767808,fortnite-general,2,^^
560624360797372446,fortnite-general,1,?
560624671809339392,fortnite-general,127,<@472642542995898371> lmao not everyone wants to play arena with a bunch of no life losers that playground and play 8 hrs a day
560624883902578700,fortnite-general,68,<@472642542995898371>  lmao when did I say I want to be competitive?
560625270831185941,fortnite-general,111,Lmao you're fucking retarded someone that just tryhard sweats discord for staff news flash it aint gonna happen
