ID,Server,Channel,Content Length,Content
558429100587483146,SAO: Memory Defrag,global-md,27,im busy carrying exiled p.p
558429927393984513,SAO: Memory Defrag,off-topic,3,w t
558430053709512710,SAO: Memory Defrag,off-topic,10,how dare u
558430090472587264,SAO: Memory Defrag,off-topic,12,thats me lol
558430286283538453,SAO: Memory Defrag,off-topic,29,bullying day 20 account i see
558856495643754508,SAO: Memory Defrag,off-topic,65,<@!217091781316050946> you followed exiled rain but not me p.pp.p
558857468067708938,SAO: Memory Defrag,off-topic,4,ayee
558857493988507663,SAO: Memory Defrag,off-topic,3,^^^
558857585617534976,SAO: Memory Defrag,off-topic,13,memedefrag OP
558857714785058816,SAO: Memory Defrag,off-topic,42,at least they do guaranteeds on step 1 p.p
558857794800058390,SAO: Memory Defrag,off-topic,8,Pepegaaa
558857842233180170,SAO: Memory Defrag,off-topic,27,<:Kappa:315824076012912642>
558858487770382346,SAO: Memory Defrag,off-topic,41,<:GWatproHyperPoggers:405316678507823124>
558858788724015115,SAO: Memory Defrag,off-topic,38,meanwhile i did 4k and no + at all lul
559033492219101202,SAO: Memory Defrag,creator-content,43,https://www.youtube.com/watch?v=j11IeIf7MuE
560625559156293632,SAO: Memory Defrag,global-md,34,there's a lot of golden alices ...
